"Election for","Ward 2 - Broxburn, Uphall and Winchburgh"
"Date","04 Dec 2022"
"Number to be elected",1
"Valid votes",4476
"Invalid votes",0
"Quota",2239.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Debbie EWEN (Alba)",,"Chris COTTER (Grn)",,"Steven Robert LAIDLAW (Ind)",,"Peter John CLARKE (LD)",,"Chris HORNE (Ind)",,"Douglas SMITH (C)",,"Thomas George ULLATHORNE (SNP)",
"Tony BOYLE (Lab)",1783,+7.00000,1790.00000,+19.00000,1809.00000,+30.00000,1839.00000,+73.00000,1912.00000,+104.00000,2016.00000,+175.00000,2191.00000,+587.00000,2778.00000,"Elected"
"Peter John CLARKE (LD)",167,+1.00000,168.00000,+15.00000,183.00000,+8.00000,191.00000,-191.00000,"-",,"-",,"-",,"-",
"Chris COTTER (Grn)",122,+4.00000,126.00000,-126.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Debbie EWEN (Alba)",81,-81.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Chris HORNE (Ind)",275,+10.00000,285.00000,+7.00000,292.00000,+36.00000,328.00000,+25.00000,353.00000,-353.00000,"-",,"-",,"-",
"Steven Robert LAIDLAW (Ind)",125,+7.00000,132.00000,+4.00000,136.00000,-136.00000,"-",,"-",,"-",,"-",,"-",
"Douglas SMITH (C)",347,+1.00000,348.00000,+1.00000,349.00000,+5.00000,354.00000,+27.00000,381.00000,+77.00000,458.00000,-458.00000,"-",,"-",
"Thomas George ULLATHORNE (SNP)",1576,+29.00000,1605.00000,+66.00000,1671.00000,+32.00000,1703.00000,+25.00000,1728.00000,+44.00000,1772.00000,+20.00000,1792.00000,-1792.00000,"-",
"Non-transferable", ,+22.00000,22.00000,+14.00000,36.00000,+25.00000,61.00000,+41.00000,102.00000,+128.00000,230.00000,+263.00000,493.00000,+1205.00000,1698.00000,
"Totals",4476,,4476.00000,,4476.00000,,4476.00000,,4476.00000,,4476.00000,,4476.00000,,4476.00000
