Election for,Aberdeenshire 2024-11-07 - Ward 4 - Central Buchan,,,,,,,,,
Date,13 Nov 2024,,,,,,,,,
Number to be elected,1,,,,,,,,,
Valid votes,3049,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1525,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Dean WARD (Ind),,Phil REYNOLDS (ScFam),,Andrew Hugh CURWEN (RUK),,Ian James BAILEY (LD),,
Peter CHAPMAN (C),1260,12,1272,20,1292,138,1430,184,1614,Elected
Sarah Ann Jane WILKEN (SNP),869,10,879,18,897,28,925,144,1069,
Ian James BAILEY (LD),435,17,452,11,463,44,507,-507,-,
Andrew Hugh CURWEN (RUK),331,7,338,20,358,-358,-,,-,
Phil REYNOLDS (ScFam),83,6,89,-89,-,,-,,-,
Dean WARD (Ind),71,-71,-,,-,,-,,-,
Non-transferable,,19,19,20,39,148,187,179,366,
Totals,3049,,3049,,3049,,3049,,3049,
 ,,,,,,,,,,
,1524.5,,,,1505,,1431,,1341.5,
,264.5,,,,213,,1,,-272.5,
,,,,,,,,,,
,609.8,,,,,,,,,
,650.2,,,,,,,,,
,40.4000000000001,,,,,,,,,
