Election for,Aberdeenshire 2024-11-07 - Ward 3 - Fraserburgh and District,,,,,,,,,
Date,13 Nov 2024,,,,,,,,,
Number to be elected,1,,,,,,,,,
Valid votes,3150,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1576,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Dawn SMITH (ScFam),,Sandy LESLIE (LD),,Conrad Strachan RITCHIE (RUK),,Mike MCDONALD (SNP),,
Iain SUTHERLAND (C),1145,13,1158,67,1225,331,1556,328,1884,Elected
Mike MCDONALD (SNP),895,20,915,51,966,147,1113,-1113,-,
Conrad Strachan RITCHIE (RUK),817,12,829,35,864,-864,-,,-,
Sandy LESLIE (LD),222,11,233,-233,-,,-,,-,
Dawn SMITH (ScFam),71,-71,-,,-,,-,,-,
Non-transferable,,15,15,80,95,386,481,785,1266,
Totals,3150,,3150,,3150,,3150,,3150,
 ,,,,,,,,,,
,1575,,,,1527.5,,1334.5,,,
,630,,,,630,,630,,,
,,,,,,,,,,
,430,,,,302.5,,-221.5,,,
