Election for,Aberdeenshire 2024-11-07 - Ward 19 - Mearns,,,,,,,
Date,13 Nov 2024,,,,,,,
Number to be elected,1,,,,,,,
Valid votes,3435,,,,,,,
Invalid votes,0,,,,,,,
Quota,1718,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,William Stanley Raymond LINEGAR (Grn),,Claudia LEITH (RUK),,Isobel KNIGHTS (LD),,
Tracey SMITH (C),1347,3,1350,144,1494,274,1768,Elected
Hannah Elizabeth SCOTT (SNP),832,59,891,37,928,253,1181,
Isobel KNIGHTS (LD),745,43,788,63,851,-851,-,
Claudia LEITH (RUK),375,9,384,-384,-,,-,
William Stanley Raymond LINEGAR (Grn),136,-136,-,,-,,-,
Non-transferable,,22,22,140,162,324,486,
Totals,3435,,3435,,3435,,3435,
 ,,,,,,,,
,1717.5,,,,1636.5,,1474.5,
,370.5,,,,142.5,,-293.5,
,,,,,,,,
,687,,,,,,,
,660,,,,,,,
