Election for,Dundee 2024-10-03 - Ward 2 - Lochee,,,,,,,,,,,,,
Date,04 Oct 2024,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,
Valid votes,3223,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1612,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,John REDDY (Workers),,Outi BOURKE (LD),,Alan ROSS (Alba),,Kate TREHARNE (Grn),,Calum WALKER (C),,Marty SMITH (Lab),,
Lee MILLS (SNP),1203,8,1211,15,1226,66,1292,77,1369,21,1390,352,1742,Elected
Marty SMITH (Lab),1148,19,1167,44,1211,25,1236,49,1285,72,1357,-1357,-,
Calum WALKER (C),219,11,230,28,258,10,268,16,284,-284,-,,-,
Alan ROSS (Alba),178,26,204,8,212,-212,-,,-,,-,,-,
Kate TREHARNE (Grn),176,14,190,27,217,21,238,-238,-,,-,,-,
Outi BOURKE (LD),156,15,171,-171,-,,-,,-,,-,,-,
John REDDY (Workers),143,-143,-,,-,,-,,-,,-,,-,
Non-transferable,,50,50,49,99,90,189,96,285,191,476,1005,1481,
Totals,3223,,3223,,3223,,3223,,3223,,3223,,3223,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,644.6,,,,,,,,,,,,,
