Election for,Ward 1 - Strathmartine,,,,,,,,,,,
Date,04 Oct 2024,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,
Valid votes,3391,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1696,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Donald MACLEOD (TUSC),,Callum BAIRD (Grn),,Naveed ALI (C),,Richard MCCREADY (Lab),,Jenny BLAIN (LD),,
Jimmy BLACK (SNP),1188,17,1205,55,1260,14,1274,152,1426,409,1835,Elected
Jenny BLAIN (LD),912,20,932,31,963,53,1016,378,1394,-1394,-,
Richard MCCREADY (Lab),911,18,929,18,947,25,972,-972,-,,-,
Naveed ALI (C),143,2,145,5,150,-150,-,,-,,-,
Callum BAIRD (Grn),121,13,134,-134,-,,-,,-,,-,
Donald MACLEOD (TUSC),116,-116,-,,-,,-,,-,,-,
Non-transferable,,46,46,25,71,58,129,442,571,985,1556,
Totals,3391,,3391,,3391,,3391,,3391,,3391,
