"Election for","Edinburgh 2024-11-14 - Ward 8 - Colinton/Fairmilehead"
"Date","15 Nov 2024"
"Number to be elected",1
"Valid votes",7401
"Invalid votes",0
"Quota",3701.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10,"Stage",11
 ,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Tam LAIRD (Libtn)",,"Bonnie Prince BOB (Ind)",,"Richard Crewe LUCAS (ScFam)",,"Mev BROWN (Ind)",,"David Ian HENRY (Ind)",,"Marc WILKINSON (Ind)",,"Grant LIDSTER (RUK)",,"Daniel Aleksanteri MILLIGAN (Grn)",,"Mairianna CLYDE (SNP)",,"Neil CUTHBERT (C)",
 "Bonnie Prince BOB (Ind)",22,,22.00000,-22.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Mev BROWN (Ind)",50,+1.00000,51.00000,+9.00000,60.00000,+2.00000,62.00000,-62.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Mairianna CLYDE (SNP)",800,,800.00000,,800.00000,+1.00000,801.00000,+5.00000,806.00000,+10.00000,816.00000,+10.00000,826.00000,+9.00000,835.00000,+128.00000,963.00000,-963.00000,"-",,"-",
 "Neil CUTHBERT (C)",1454,+4.00000,1458.00000,,1458.00000,+7.00000,1465.00000,+11.00000,1476.00000,+7.00000,1483.00000,+34.00000,1517.00000,+121.00000,1638.00000,+5.00000,1643.00000,+33.00000,1676.00000,-1676.00000,"-",
 "Sheila GILMORE (Lab)",1441,,1441.00000,+3.00000,1444.00000,+2.00000,1446.00000,+7.00000,1453.00000,+10.00000,1463.00000,+17.00000,1480.00000,+15.00000,1495.00000,+116.00000,1611.00000,+275.00000,1886.00000,+169.00000,2055.00000,
 "David Ian HENRY (Ind)",57,,57.00000,,57.00000,+6.00000,63.00000,+12.00000,75.00000,-75.00000,"-",,"-",,"-",,"-",,"-",,"-",
 "Tam LAIRD (Libtn)",9,-9.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Grant LIDSTER (RUK)",268,+1.00000,269.00000,,269.00000,+12.00000,281.00000,+2.00000,283.00000,+4.00000,287.00000,+13.00000,300.00000,-300.00000,"-",,"-",,"-",,"-",
 "Richard Crewe LUCAS (ScFam)",51,,51.00000,,51.00000,-51.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Daniel Aleksanteri MILLIGAN (Grn)",393,,393.00000,+3.00000,396.00000,+1.00000,397.00000,+5.00000,402.00000,+5.00000,407.00000,+7.00000,414.00000,+9.00000,423.00000,-423.00000,"-",,"-",,"-",
 "Louise Watson SPENCE (LD)",2683,+1.00000,2684.00000,+1.00000,2685.00000,+2.00000,2687.00000,+10.00000,2697.00000,+7.00000,2704.00000,+59.00000,2763.00000,+30.00000,2793.00000,+105.00000,2898.00000,+198.00000,3096.00000,+655.00000,3751.00000,"Elected"
 "Marc WILKINSON (Ind)",173,,173.00000,+2.00000,175.00000,+2.00000,177.00000,+2.00000,179.00000,+11.00000,190.00000,-190.00000,"-",,"-",,"-",,"-",,"-",
 "Non-transferable", ,+2.00000,2.00000,+4.00000,6.00000,+16.00000,22.00000,+8.00000,30.00000,+21.00000,51.00000,+50.00000,101.00000,+116.00000,217.00000,+69.00000,286.00000,+457.00000,743.00000,+852.00000,1595.00000,
 "Totals",7401,,7401.00000,,7401.00000,,7401.00000,,7401.00000,,7401.00000,,7401.00000,,7401.00000,,7401.00000,,7401.00000,,7401.00000
 
