"Election for","Falkirk 2024-10-17 - Ward 7 - Falkirk South"
"Date","18 Oct 2024"
"Number to be elected",1
"Valid votes",3329
"Invalid votes",0
"Quota",1665.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
 ,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Sean MCCAY (LD)",,"Tom MCLAUGHLIN (Grn)",,"Sharron MCKEAN (Ind)",,"Stuart MARTIN (RUK)",,"David GRANT (C)",,"Carol Anne BEATTIE (SNP)",
 "Claire AITKEN (Lab)",1014,+34.00000,1048.00000,+42.00000,1090.00000,+42.00000,1132.00000,+29.00000,1161.00000,+168.00000,1329.00000,+395.00000,1724.00000,"Elected"
 "Carol Anne BEATTIE (SNP)",1043,+5.00000,1048.00000,+65.00000,1113.00000,+43.00000,1156.00000,+33.00000,1189.00000,+29.00000,1218.00000,-1218.00000,"-",
 "David GRANT (C)",488,+10.00000,498.00000,+5.00000,503.00000,+21.00000,524.00000,+128.00000,652.00000,-652.00000,"-",,"-",
 "Stuart MARTIN (RUK)",330,+11.00000,341.00000,+2.00000,343.00000,+28.00000,371.00000,-371.00000,"-",,"-",,"-",
 "Sean MCCAY (LD)",119,-119.00000,"-",,"-",,"-",,"-",,"-",,"-",
 "Sharron MCKEAN (Ind)",184,+15.00000,199.00000,+17.00000,216.00000,-216.00000,"-",,"-",,"-",,"-",
 "Tom MCLAUGHLIN (Grn)",151,+10.00000,161.00000,-161.00000,"-",,"-",,"-",,"-",,"-",
 "Non-transferable", ,+34.00000,34.00000,+30.00000,64.00000,+82.00000,146.00000,+181.00000,327.00000,+455.00000,782.00000,+823.00000,1605.00000,
 "Totals",3329,,3329.00000,,3329.00000,,3329.00000,,3329.00000,,3329.00000,,3329.00000
 
