Election for,Highland 2024-09-26 - Ward 6 - Cromarty Firth,,,,,,,,,,,,,,,,,,,,,
Date,27 Sep 2024,,,,,,,,,,,,,,,,,,,,,
Number to be elected,2,,,,,,,,,,,,,,,,,,,,,
Valid votes,2375,,,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,,,
Quota,792,,,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,Stage,11,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Hanning Jackson R.,,Munro,,Hanning Jackson K.,,Perera,,Barrowman,,Tina MCCAFFERY (Ind),,Brideen GODLEY-MACKENZIE (Ind),,Richard James CROSS (Ind),,Martin RATTRAY (Ind),,Odette MACDONALD (SNP),,
John EDMONDSON (LD),481,,481,12,493,5,498,33,531,13,544,13,557,16,573,68,641,73,714,92,806,Elected
Odette MACDONALD (SNP),403,1,404,,404,2,406,11,417,34,451,6,457,41,498,12,510,40,550,-550,-,
Sinclair COGHILL (Ind),326,1,327,7,334,9,343,2,345,8,353,26,379,37,416,96,512,173,685,115,800,Elected
Martin RATTRAY (Ind),323,,323,9,332,6,338,8,346,4,350,31,381,41,422,69,491,-491,-,,-,
Richard James CROSS (Ind),285,,285,6,291,12,303,2,305,5,310,6,316,25,341,-341,-,,-,,-,
Brideen GODLEY-MACKENZIE (Ind),162,,162,4,166,4,170,2,172,9,181,12,193,-193,-,,-,,-,,-,
Tina MCCAFFERY (Ind),97,1,98,3,101,4,105,2,107,2,109,-109,-,,-,,-,,-,,-,
Ryan BARROWMAN (Grn),89,,89,,89,1,90,5,95,-95,-,,-,,-,,-,,-,,-,
Michael PERERA (Lab),77,,77,5,82,1,83,-83,-,,-,,-,,-,,-,,-,,-,
Innes MUNRO (C),57,2,59,-59,-,,-,,-,,-,,-,,-,,-,,-,,-,
KIM HANNING JACKSON (RUK),52,18,70,2,72,-72,-,,-,,-,,-,,-,,-,,-,,-,
ROLAND HANNING JACKSON (RUK),23,-23,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,,0,11,11,28,39,18,57,20,77,15,92,33,125,96,221,205,426,343,769,
Totals,2375,,2375,,2375,,2375,,2375,,2375,,2375,,2375,,2375,,2375,,2375,
,,,,,,,,,,,,,,,,,,,,,,
,,,791.666666666667,,788,,778.666666666667,,772.666666666667,,766,,,,750,,718,,649.666666666667,,,
,,,310.666666666667,,295,,280.666666666667,,241.666666666667,,222,,,,177,,77,,-64.3333333333334,,,
