Election for,Highland 2024-09-26 - Ward 14 - Inverness Central,,,,,,,,,,,
Date,27 Sep 2024,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,
Valid votes,1717,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,859,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Richmond,,Andrew BARNETT (Grn),,Donald MACKENZIE (C),,Chris LEWCOCK (LD),,Martin MACGREGOR (SNP),,
Martin MACGREGOR (SNP),551,4,555,64,619,5,624,48,672,-672,-,
Michael GREGSON (Lab),479,2,481,41,522,26,548,140,688,241,929,Elected
Chris LEWCOCK (LD),286,15,301,27,328,81,409,-409,-,,-,
Andrew BARNETT (Grn),158,4,162,-162,-,,-,,-,,-,
Donald MACKENZIE (C),150,32,182,,182,-182,-,,-,,-,
Iain RICHMOND (RUK),93,-93,-,,-,,-,,-,,-,
Non-transferable,,36,36,30,66,70,136,221,357,431,788,
Totals,1717,,1717,,1717,,1717,,1717,,1717,
,,,,,,,,,,,,
,858.5,,840.5,,825.5,,,,680,,,
,307.5,,285.5,,206.5,,,,-8,,,
