Election for,Inverclyde 2024-11-07 - Ward 5 - Inverclyde West,,,,,,,,,
Date,13 Nov 2024,,,,,,,,,
Number to be elected,1,,,,,,,,,
Valid votes,2739,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1370,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,John Stuart Bennet BURLEIGH (RUK),,Christopher William MCELENY (Alba),,Ted RUNCIMAN (C),,Robert KIRKPATRICK (SNP),,
Ian HELLYER (Lab),932,29,961,38,999,166,1165,403,1568,Elected
Robert KIRKPATRICK (SNP),923,16,939,111,1050,32,1082,-1082,-,
Ted RUNCIMAN (C),415,70,485,30,515,-515,-,,-,
Christopher William MCELENY (Alba),239,19,258,-258,-,,-,,-,
John Stuart Bennet BURLEIGH (RUK),230,-230,-,,-,,-,,-,
Non-transferable,,96,96,79,175,317,492,679,1171,
Totals,2739,,2739,,2739,,2739,,2739,
 ,,,,,,,,,,
,1369.5,,1321.5,,,,1123.5,,,
,437.5,,360.5,,,,-41.5,,,
,,,,,,,,,,
,684.75,,,,,,,,,
