Election for,Perth and Kinross 2024-09-26 - Ward 11 - Perth City North,,,,,,,,,
Date,27 Sep 2024,,,,,,,,,
Number to be elected,1,,,,,,,,,
Valid votes,2050,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1026,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Caitlin RIPLEY (Grn),,Tina Jane NG-A-MANN (LD),,Robert REID (Alba),,Sonia DAVIDSON (RUK),,
Carol MAIR (SNP),917,29,946,15,961,54,1015,43,1058,Elected
Kirsten NKWOCHA-DYER (Lab),313,18,331,27,358,16,374,35,409,
Aziz REHMAN (C),296,1,297,19,316,7,323,42,365,
Sonia DAVIDSON (RUK),209,4,213,7,220,14,234,-234,-,
Robert REID (Alba),133,6,139,6,145,-145,-,,-,
Tina Jane NG-A-MANN (LD),95,16,111,-111,-,,-,,-,
Caitlin RIPLEY (Grn),87,-87,-,,-,,-,,-,
Non-transferable,,13,13,37,50,54,104,114,218,
Totals,2050,,2050,,2050,,2050,,2050,
,,,,,,,,,,
,1025,,1018.5,,1000,,973,,,
,108,,72.5,,39,,-42,,,
,,,,,,,,,,
,512.5,,,,,,,,,
