Election for,Perth and Kinross 2022-09-26 - Ward 7 - Strathallan,,,,,,,,,,,
Date,27 Sep 2024,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,
Valid votes,3258,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1630,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
,,,,,,,,,,,,
,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Sutherland,,Thomas,,Ken MCCRACKEN (Lab),,Catherine SCOTT (SNP),,Amanda RUNCIMAN (C),,
Amanda RUNCIMAN (C),1045,4,1049,74,1123,46,1169,37,1206,-1206,-,
Alan James WATT (LD),978,28,1006,29,1035,178,1213,296,1509,601,2110,Elected
Catherine SCOTT (SNP),568,45,613,13,626,70,696,-696,-,,-,
Ken MCCRACKEN (Lab),366,16,382,6,388,-388,-,,-,,-,
Ian THOMAS (RUK),194,4,198,-198,-,,-,,-,,-,
Nettie SUTHERLAND (Grn),107,-107,-,,-,,-,,-,,-,
Non-transferable,,10,10,76,86,94,180,363,543,605,1148,
Totals,3258,,3258,,3258,,3258,,3258,,3258,
,,,,,,,,,,,,
,1629,,,,1586,,,,1357.5,,,
,584,,,,463,,,,-151.5,,,
,,,,,,,,,,,,
,814.5,,,,,,,,,,,
