Election for,West Lothian 2024-08-22 - Ward 9 - Armadale and Blackridge,,,,,,,,,,,,,
Date,23 Aug 2024,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,
Valid votes,2748,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1375,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Adam William RAFFERTY (Grn),,Douglas Thomas BUTLER (LD),,John HANNAH (IndScot),,Douglas SMITH (C),,David MCLENNAN (RUK),,Keith Alan BARCLAY (SNP),,
Susan MANION (Lab),795,19,814,39,853,37,890,65,955,148,1103,324,1427,Elected
Keith Alan BARCLAY (SNP),777,28,805,15,820,83,903,14,917,50,967,-967,-,
David MCLENNAN (RUK),519,,519,15,534,25,559,78,637,-637,-,,-,
John HANNAH (IndScot),236,4,240,5,245,-245,-,,-,,-,,-,
Douglas SMITH (C),226,1,227,21,248,24,272,-272,-,,-,,-,
Douglas Thomas BUTLER (LD),122,9,131,-131,-,,-,,-,,-,,-,
Adam William RAFFERTY (Grn),73,-73,-,,-,,-,,-,,-,,-,
Non-transferable,,12,12,36,48,76,124,115,239,439,678,643,1321,
Totals,2748,,2748,,2748,,2748,,2748,,2748,,2748,
 ,,,,,,,,,,,,,,
,1374,,,,1350,,,,1254.5,,1035,,,
,579,,,,497,,,,299.5,,-68,,,
