Election for,West Lothian 2024-11-14 - Ward 7 - Whitburn and Blackburn,,,,,,,,,,,,,
Date,15 Nov 2024,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,
Valid votes,3542,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1772,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Cameron GLASGOW (Grn),,Douglas Thomas BUTLER (LD),,Charles KENNEDY (C),,Thomas Robert LYNCH (Ind),,David MCLENNAN (RUK),,Aileen BROWN (SNP),,
David Blackie RUSSELL (Lab),1093,15,1108,18,1126,38,1164,119,1283,141,1424,354,1778,Elected
Aileen BROWN (SNP),1022,41,1063,15,1078,13,1091,82,1173,65,1238,-1238,-,
David MCLENNAN (RUK),578,1,579,7,586,67,653,86,739,-739,-,,-,
Thomas Robert LYNCH (Ind),421,8,429,23,452,46,498,-498,-,,-,,-,
Charles KENNEDY (C),239,,239,20,259,-259,-,,-,,-,,-,
Douglas Thomas BUTLER (LD),97,14,111,-111,-,,-,,-,,-,,-,
Cameron GLASGOW (Grn),92,-92,-,,-,,-,,-,,-,,-,
Non-transferable, ,13,13,28,41,95,136,211,347,533,880,884,1764,
Totals,3542,,3542,,3542,,3542,,3542,,3542,,3542,
 ,,,,,,,,,,,,,,
