Election for,East Ayrshire 2025-02-20 - Ward 2 - Kilmarnock North,,,,,,,,,,,,,,,
Date,21 Feb 2025,,,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,,,
Valid votes,2092,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1047,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Stephen MCNAMARA (Ind),,Lee MANLEY (LD),,Finlay AFFLECK (Grn),,Allan MACDONALD (C),,Sandra Joanne KIRKWOOD (RUK),,Ian GRANT (Ind),,Greg MACKENZIE (Lab),,
Caroline BARTON (SNP),748,,748,3,751,27,778,10,788,21,809,58,867,200,1067,Elected
Greg MACKENZIE (Lab),582,,582,10,592,20,612,36,648,25,673,91,764,-764,-,
Ian GRANT (Ind),277,,277,9,286,8,294,32,326,69,395,-395,-,,-,
Sandra Joanne KIRKWOOD (RUK),212,,212,1,213,2,215,26,241,-241,-,,-,,-,
Allan MACDONALD (C),159,,159,4,163,4,167,-167,-,,-,,-,,-,
Finlay AFFLECK (Grn),75,1,76,2,78,-78,-,,-,,-,,-,,-,
Lee MANLEY (LD),37,,37,-37,-,,-,,-,,-,,-,,-,
Stephen MCNAMARA (Ind),2,-2,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,1,1,8,9,17,26,63,89,126,215,246,461,564,1025,
Totals,2092,,2092,,2092,,2092,,2092,,2092,,2092,,2092,
 ,,,,,,,,,,,,,,,,
