Election for,Glasgow 2025-03-20 - Ward 8 - Southside Central,,,,,,,,,,,,,,,
Date,22 Mar 2025,,,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,,,
Valid votes,3749,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1875,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Travis POWER (UKIP),,Kyle PARK (C),,Nicholas Allan BUDGEN (LD),,Danny RAJA (RUK),,5 candidates,,Laura VROOMEN (Grn),,Samina RASHID (Lab),,
Mhairi HUNTER (SNP),1126,3,1129,3,1132,27,1159,28,1187,117,1243,532,1775,530,2305,Elected
Samina RASHID (Lab),1027,7,1034,11,1045,34,1079,28,1107,123,1150,216,1366,-1366,-,
Laura VROOMEN (Grn),805,,805,9,814,23,837,19,856,189,994,-994,-,,-,
Olivia MURPHY (SSP),271,1,272,2,274,27,301,22,323,-271,-,,-,,-,
Danny RAJA (RUK),222,19,241,26,267,10,277,-277,-,-222,-,,-,,-,
Nicholas Allan BUDGEN (LD),155,2,157,15,172,-172,-,,-,-155,-,,-,,-,
Kyle PARK (C),102,3,105,-105,-,,-,,-,-102,-,,-,,-,
Travis POWER (UKIP),41,-41,-,,-,,-,,-,-41,-,,-,,-,
Non-transferable,,6,6,39,45,51,96,180,276,362,362,246,608,836,1444,
Totals,3749,,3749,,3749,,3749,,3749,,3749,,3749,,3749,
 ,,,,,,,,,,,,,,,,
