Election for,Highland 2025-06-19 - Ward 6 - Cromarty Firth,,,,,,,,,,,,,,,,,
Date,20 Jun 2025,,,,,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,,,,,
Valid votes,2385,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1193,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Ryan FORBES (C),,Michael Robert PERERA (Lab),,Steve CHISHOLM (Alba),,Anne THOMAS (Grn),,Ross COSTIGANE (LD),,ALLAN MACDONALD (RUK),,Martin RATTRAY (Ind),,ODETTE MACDONALD (SNP),,
ODETTE MACDONALD (SNP),568,2,570,14,584,43,627,40,667,42,709,40,749,63,812,-812,-,
Richard James CROSS (Ind),503,9,512,6,518,11,529,15,544,102,646,94,740,246,986,225,1211,Elected
Martin RATTRAY (Ind),368,6,374,9,383,6,389,4,393,61,454,70,524,-524,-,,-,
ALLAN MACDONALD (RUK),348,8,356,6,362,7,369,3,372,24,396,-396,-,,-,,-,
Ross COSTIGANE (LD),290,8,298,25,323,6,329,20,349,-349,-,,-,,-,,-,
Anne THOMAS (Grn),92,1,93,5,98,3,101,-101,-,,-,,-,,-,,-,
Steve CHISHOLM (Alba),91,1,92,1,93,-93,-,,-,,-,,-,,-,,-,
Michael Robert PERERA (Lab),77,2,79,-79,-,,-,,-,,-,,-,,-,,-,
Ryan FORBES (C),48,-48,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,11,11,13,24,17,41,19,60,120,180,192,372,215,587,587,1174,
Totals,2385,,2385,,2385,,2385,,2385,,2385,,2385,,2385,,2385,
 ,,,,,,,,,,,,,,,,,,
,1192.5,,1187,,,,,,1162.5,,1102.5,,1006.5,,899,,,
,624.5,,617,,,,,,495.5,,393.5,,257.5,,-87,,,
