Election for,Highland 2025-06-19 - Ward 10 - Eilean a' Cheò,,,,,,,,,,,,,,,
Date,20 Jun 2025,,,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,,,
Valid votes,3504,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1753,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,George MACPHERSON (C),,John COUPLAND (RUK),,Katy LAWRENCE (Grn),,Jonathan MACDONALD (Ind),,Màrtainn MAC A BHÀILLIDH (SNP),,Campbell DICKSON (Ind),,Fay THOMSON (LD),,
Christine GILLIES (Ind),823,11,834,12,846,66,912,109,1021,203,1224,291,1515,494,2009,Elected
Fay THOMSON (LD),741,24,765,30,795,52,847,55,902,121,1023,205,1228,-1228,-,
Campbell DICKSON (Ind),655,3,658,40,698,19,717,58,775,79,854,-854,-,,-,
Màrtainn MAC A BHÀILLIDH (SNP),527,3,530,6,536,57,593,20,613,-613,-,,-,,-,
Jonathan MACDONALD (Ind),276,9,285,16,301,15,316,-316,-,,-,,-,,-,
Katy LAWRENCE (Grn),239,2,241,2,243,-243,-,,-,,-,,-,,-,
John COUPLAND (RUK),157,12,169,-169,-,,-,,-,,-,,-,,-,
George MACPHERSON (C),86,-86,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,22,22,63,85,34,119,74,193,210,403,358,761,734,1495,
Totals,3504,,3504,,3504,,3504,,3504,,3504,,3504,,3504,
 ,,,,,,,,,,,,,,,,
,1752,,1741,,1709.5,,1692.5,,1655.5,,1550.5,,1371.5,,,
,929,,907,,863.5,,780.5,,634.5,,326.5,,-143.5,,,
