Election for,West Lothian 2025-12-11 - Ward 7 - Whitburn and Blackburn,,,,,,,,,,,,,,,
Date,12 Dec 2025,,,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,,,
Valid votes,3675,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1838,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Eddie MILLAR (Ind),,Robbie Gerald WALKER (Grn),,Douglas Thomas BUTLER (LD),,Reece SINNOTT (C),,Thomas Robert LYNCH (Ind),,Samuel James Robert MCCULLOCH (Lab),,Callum COX (SNP),,
David MCLENNAN (RUK),1177,3,1180,5,1185,6,1191,40,1231,90,1321,90,1411,242,1653,Elected
Callum COX (SNP),1028,,1028,43,1071,30,1101,9,1110,120,1230,157,1387,-1387,-,
Samuel James Robert MCCULLOCH (Lab),627,4,631,5,636,19,655,28,683,79,762,-762,-,,-,
Thomas Robert LYNCH (Ind),484,13,497,8,505,25,530,19,549,-549,-,,-,,-,
Reece SINNOTT (C),129,,129,1,130,12,142,-142,-,,-,,-,,-,
Douglas Thomas BUTLER (LD),102,2,104,17,121,-121,-,,-,,-,,-,,-,
Robbie Gerald WALKER (Grn),101,1,102,-102,-,,-,,-,,-,,-,,-,
Eddie MILLAR (Ind),27,-27,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,4,4,23,27,29,56,46,102,260,362,515,877,1145,2022,
Totals,3675,,3675,,3675,,3675,,3675,,3675,,3675,,3675,
 ,,,,,,,,,,,,,,,,
,1837.5,,,,,,,,1786.5,,1656.5,,1399,,,
,660.5,,,,,,,,555.5,,335.5,,-12,,,
