"Election for","Aberdeenshire 2026-07-02 - Ward 6 - Peterhead South and Cruden"
"Date","03 Jul 2026"
"Number to be elected",1
"Valid votes",2030
"Invalid votes",0
"Quota",1016.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
 ,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Dave BESTWICK (ScFam)",,"Tony WARE (LD)",,"Ross THOMSON (Ind)",,"John ROSS (Ind)",,"Andy CURWEN (RUK)",,"Ross GIBB (C)",
 "Dave BESTWICK (ScFam)",54,-54.00000,"-",,"-",,"-",,"-",,"-",,"-",
 "Andy CURWEN (RUK)",465,+5.00000,470.00000,+2.00000,472.00000,+13.00000,485.00000,+31.00000,516.00000,-516.00000,"-",,"-",
 "Ross GIBB (C)",432,+11.00000,443.00000,+10.00000,453.00000,+20.00000,473.00000,+47.00000,520.00000,+198.00000,718.00000,-718.00000,"-",
 "Angus MATHESON (SNP)",741,+8.00000,749.00000,+14.00000,763.00000,+20.00000,783.00000,+45.00000,828.00000,+61.00000,889.00000,+163.00000,1052.00000,"Elected"
 "John ROSS (Ind)",150,+11.00000,161.00000,+17.00000,178.00000,+50.00000,228.00000,-228.00000,"-",,"-",,"-",
 "Ross THOMSON (Ind)",132,+5.00000,137.00000,+4.00000,141.00000,-141.00000,"-",,"-",,"-",,"-",
 "Tony WARE (LD)",56,+2.00000,58.00000,-58.00000,"-",,"-",,"-",,"-",,"-",
 "Non-transferable", ,+12.00000,12.00000,+11.00000,23.00000,+38.00000,61.00000,+105.00000,166.00000,+257.00000,423.00000,+555.00000,978.00000,
 "Totals",2030,,2030.00000,,2030.00000,,2030.00000,,2030.00000,,2030.00000,,2030.00000
 
