"Election for","Edinburgh 2026-09-03 - Ward 17 - Portobello/Craigmillar"
"Date","04 Sep 2026"
"Number to be elected",1
"Valid votes",6362
"Invalid votes",0
"Quota",3182.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
 ,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Peter OLECH (Comm)",,"David Craig BALLANTINE (AllDF)",,"Pete GREGSON (Workers)",,"Niel DEEPNARAIN (ScFam)",,"Liss OWEN (LD)",,"Haris YOUNG (C)",,"Andrew MCLAUGHLIN (RUK)",,"Silas MCGILVRAY (SNP)",,"Jim Patrick WYKE (Lab)",
 "David Craig BALLANTINE (AllDF)",28,,28.00000,-28.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Niel DEEPNARAIN (ScFam)",73,+1.00000,74.00000,+3.00000,77.00000,+3.00000,80.00000,-80.00000,"-",,"-",,"-",,"-",,"-",,"-",
 "Pete GREGSON (Workers)",58,+6.00000,64.00000,+9.00000,73.00000,-73.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Lorenzo MARTINICO (Grn)",1781,+5.00000,1786.00000,+2.00000,1788.00000,+22.00000,1810.00000,+15.00000,1825.00000,+47.00000,1872.00000,+18.00000,1890.00000,+30.00000,1920.00000,+732.00000,2652.00000,+689.00000,3341.00000,"Elected"
 "Silas MCGILVRAY (SNP)",1531,+2.00000,1533.00000,+4.00000,1537.00000,+18.00000,1555.00000,+12.00000,1567.00000,+42.00000,1609.00000,+22.00000,1631.00000,+50.00000,1681.00000,-1681.00000,"-",,"-",
 "Andrew MCLAUGHLIN (RUK)",569,,569.00000,+4.00000,573.00000,+1.00000,574.00000,+14.00000,588.00000,+10.00000,598.00000,+129.00000,727.00000,-727.00000,"-",,"-",,"-",
 "Peter OLECH (Comm)",22,-22.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Liss OWEN (LD)",365,,365.00000,+1.00000,366.00000,+6.00000,372.00000,,372.00000,-372.00000,"-",,"-",,"-",,"-",,"-",
 "Jim Patrick WYKE (Lab)",1413,+3.00000,1416.00000,+1.00000,1417.00000,+4.00000,1421.00000,+10.00000,1431.00000,+137.00000,1568.00000,+165.00000,1733.00000,+115.00000,1848.00000,+340.00000,2188.00000,-2188.00000,"-",
 "Haris YOUNG (C)",522,,522.00000,,522.00000,+1.00000,523.00000,+5.00000,528.00000,+47.00000,575.00000,-575.00000,"-",,"-",,"-",,"-",
 "Non-transferable", ,+5.00000,5.00000,+4.00000,9.00000,+18.00000,27.00000,+24.00000,51.00000,+89.00000,140.00000,+241.00000,381.00000,+532.00000,913.00000,+609.00000,1522.00000,+1499.00000,3021.00000,
 "Totals",6362,,6362.00000,,6362.00000,,6362.00000,,6362.00000,,6362.00000,,6362.00000,,6362.00000,,6362.00000,,6362.00000
 
