"Election for","Edinburgh 2026-09-03 - Ward 15 - Southside/Newington"
"Date","04 Sep 2026"
"Number to be elected",1
"Valid votes",6706
"Invalid votes",0
"Quota",3354.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10,"Stage",11,"Stage",12,"Stage",13
 ,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Markham ROWBOTHAM (EELP)",,"Derrick EMMS (EELP)",,"Sean McGregor MOFFAT (AllDF)",,"Richard Crewe LUCAS (ScFam)",,"Richard SHILLCOCK (Comm)",,"Roisin KEIRDASHIAN (Ind)",,"Marc WILKINSON (EELP)",,"Gary NEILL (RUK)",,"Artie KHOVANOV (LD)",,"Sam Alexander MACKENZIE (SNP)",,"Nick LAYDEN (C)",,"Isabella GASTEL ALEJANDRE (Grn)",
 "Ruth ELLIOTT (Lab)",2153,+3.00000,2156.00000,+3.00000,2159.00000,+1.00000,2160.00000,+7.00000,2167.00000,+4.00000,2171.00000,+16.00000,2187.00000,+23.00000,2210.00000,+28.00000,2238.00000,+260.00000,2498.00000,+195.00000,2693.00000,+337.00000,3030.00000,+1320.00000,4350.00000,"Elected"
 "Derrick EMMS (EELP)",9,,9.00000,-9.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Isabella GASTEL ALEJANDRE (Grn)",1978,,1978.00000,,1978.00000,+1.00000,1979.00000,+3.00000,1982.00000,+25.00000,2007.00000,+13.00000,2020.00000,+17.00000,2037.00000,+6.00000,2043.00000,+76.00000,2119.00000,+367.00000,2486.00000,+19.00000,2505.00000,-2505.00000,"-",
 "Roisin KEIRDASHIAN (Ind)",63,,63.00000,,63.00000,,63.00000,+2.00000,65.00000,+6.00000,71.00000,-71.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Artie KHOVANOV (LD)",543,,543.00000,+1.00000,544.00000,+2.00000,546.00000,+3.00000,549.00000,+1.00000,550.00000,+6.00000,556.00000,+9.00000,565.00000,+8.00000,573.00000,-573.00000,"-",,"-",,"-",,"-",
 "Nick LAYDEN (C)",717,,717.00000,,717.00000,+2.00000,719.00000,+8.00000,727.00000,+1.00000,728.00000,+5.00000,733.00000,+10.00000,743.00000,+129.00000,872.00000,+76.00000,948.00000,+20.00000,968.00000,-968.00000,"-",,"-",
 "Richard Crewe LUCAS (ScFam)",38,,38.00000,,38.00000,+1.00000,39.00000,-39.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Sam Alexander MACKENZIE (SNP)",757,,757.00000,,757.00000,+1.00000,758.00000,+1.00000,759.00000,+1.00000,760.00000,+6.00000,766.00000,+5.00000,771.00000,+16.00000,787.00000,+41.00000,828.00000,-828.00000,"-",,"-",,"-",
 "Sean McGregor MOFFAT (AllDF)",12,,12.00000,+1.00000,13.00000,-13.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Gary NEILL (RUK)",305,,305.00000,,305.00000,+1.00000,306.00000,+2.00000,308.00000,+1.00000,309.00000,+1.00000,310.00000,+5.00000,315.00000,-315.00000,"-",,"-",,"-",,"-",,"-",
 "Markham ROWBOTHAM (EELP)",7,-7.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Richard SHILLCOCK (Comm)",46,,46.00000,+1.00000,47.00000,+1.00000,48.00000,+2.00000,50.00000,-50.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Marc WILKINSON (EELP)",78,+3.00000,81.00000,+2.00000,83.00000,+1.00000,84.00000,+1.00000,85.00000,+3.00000,88.00000,+6.00000,94.00000,-94.00000,"-",,"-",,"-",,"-",,"-",,"-",
 "Non-transferable", ,+1.00000,1.00000,+1.00000,2.00000,+2.00000,4.00000,+10.00000,14.00000,+8.00000,22.00000,+18.00000,40.00000,+25.00000,65.00000,+128.00000,193.00000,+120.00000,313.00000,+246.00000,559.00000,+612.00000,1171.00000,+1185.00000,2356.00000,
 "Totals",6706,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000,,6706.00000
 
