Ward,Candidate,Party,Votes
Appleton ,Paul Francis Carter,Lab,655
Appleton ,Phil Marshall,C,1745
Appleton ,Peter John Walker,LD,1861
Bewsey & Whitecross,Jonathan Matthew Levy,C,230
Bewsey & Whitecross,Steve Parish,Lab,1576
Bewsey & Whitecross,Mike Philips,BNP,115
Bewsey & Whitecross,Bob Timmis,LD,450
Birchwood,Chris Fitzsimmons,Lab,1789
Birchwood,Christine Diane Oliver,LD,310
Birchwood,Judith Wise,C,1105
Burtonwood & Winwick,Frank Allen,C,656
Burtonwood & Winwick,John Joyce,Lab,1406
"Culcheth, Glazebury & Croft",Sue Bland,C,1958
"Culcheth, Glazebury & Croft",Merril Cummerson,LD,468
"Culcheth, Glazebury & Croft",Chris Vobe,Lab,1598
Fairfield & Howley,Sandra Joan Bradshaw,LD,215
Fairfield & Howley,Tony Higgins,Lab,1738
Fairfield & Howley,Ileyne Hutchinson,C,429
Fairfield & Howley,Lyndsay McAteer,Grn,196
Grappenhall & Thelwall,Mike Biggin,LD,1543
Grappenhall & Thelwall,Roger Philip Cawthorne,C,990
Grappenhall & Thelwall,Helen Jayne Dutton,Lab,833
Grappenhall & Thelwall,Richard William Vaughan,UKIP,194
Great Sankey North,Stephanie Davies,Grn,114
Great Sankey North,David Scott McNeilage,C,345
Great Sankey North,Dan Price,Lab,858
Great Sankey North,Roy Alfred Smith,LD,807
Great Sankey South,Sam Baxter,C,633
Great Sankey South,Jean Carter,Lab,1629
Great Sankey South,Jim Regan,LD,848
Latchford East,Hans Mundry,Lab,1471
Latchford East,Tim Price,LD,165
Latchford East,Lance Reah,C,272
Latchford West,Ted Finnegan,LD,857
Latchford West,Matthew Kirwan Edward Harris,C,229
Latchford West,Maureen Penelope McLaughlin,Lab,971
Latchford West,Mike Smith,Grn,106
Lymm,James Ashington,UKIP,291
Lymm,Ian George Marks,LD,1624
Lymm,Harish Chander Sharma,C,1505
Lymm,Su Williams,Lab,1207
Orford,Edgar John Davies,LD,139
Orford,Kate Hannon,Lab,1879
Orford,Brian Lambert,C,364
Penketh & Cuerdley,Linda Susan Dirir,Lab,1842
Penketh & Cuerdley,Peter Bennett Elton,C,1221
Poplars & Hulme,Bob Haskew-Jones,LD,182
Poplars & Hulme,John Alexander Lawson Leslie,C,353
Poplars & Hulme,Steve Roberts,Lab,1694
Poulton North,Mark Chapman,C,426
Poulton North,Graham Friend,Lab,1442
Poulton North,Colin James Oliver,LD,1204
Rixton & Woolston,Nigel Balding,C,906
Rixton & Woolston,Paul Bretherton,Lab,1611
Rixton & Woolston,Diana Grylls,LD,150
Rixton & Woolston,Ross Lloyd,Grn,188
Stockton Heath,Celia Elizabeth Jordan,LD,817
Stockton Heath,Laurence James Murphy,Lab,670
Stockton Heath,Stephen Taylor,C,755
Stockton Heath,Kenneth Robin Wilson,Grn,123
Westbrook,Derek Clark,UKIP,113
Westbrook,Jan Davidson,Lab,792
Westbrook,Stefan Krizanac,LD,515
Westbrook,Robert James MacLaren,C,480
Whittle Hall,Stephen James Bradley,C,802
Whittle Hall,Faisal Rashid,Lab,1285
Whittle Hall,Judith Carol Wheeler,LD,1021
