"Election for","Northfield/Mastrick North Ward"
"Date","12 Apr 2020"
"Number to be elected",3
"Valid votes",4382
"Invalid votes",0
"Quota",1096.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Jackie DUNBAR (SNP)",,"Faith Jason ROBERTSON-FOY (Ind)",,"Sam FORMAN (LD)",,"Alan MARTIN (C)",,"Jessica MENNIE (SNP)",,"Ciarán MCRAE (SNP)",,"Frank GILFEATHER (Lab)",
"Jackie DUNBAR (SNP)",1747,-651.00000,1096.00000,,1096.00000,,1096.00000,,1096.00000,,1096.00000,,1096.00000,,1096.00000,"Elected"
"Sam FORMAN (LD)",154,+15.65046,169.65046,+18.37263,188.02309,-188.02309,"-",,"-",,"-",,"-",,"-",
"Frank GILFEATHER (Lab)",629,+26.82936,655.82936,+6.00000,661.82936,+31.35367,693.18303,+95.37263,788.55566,+10.23578,798.79144,+11.10376,809.89520,-809.89520,"-",
"Gordon GRAHAM (Lab)",692,+36.14511,728.14511,+12.37263,740.51774,+39.47156,779.98930,+105.49052,885.47982,+17.33471,902.81453,+8.25982,911.07435,+640.27177,1551.34612,"Elected"
"Alan MARTIN (C)",376,+3.72630,379.72630,+16.00000,395.72630,+34.86315,430.58945,-430.58945,"-",,"-",,"-",,"-",
"Ciarán MCRAE (SNP)",370,+372.63000,742.63000,+5.86315,748.49315,+16.23578,764.72893,+11.49052,776.21945,+430.48151,1206.70096,-110.70096,1096.00000,,1096.00000,"Elected"
"Jessica MENNIE (SNP)",333,+153.52356,486.52356,+7.49052,494.01408,+8.86315,502.87723,+13.37263,516.24986,-516.24986,"-",,"-",,"-",
"Faith Jason ROBERTSON-FOY (Ind)",81,+5.21682,86.21682,-86.21682,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+37.27839,37.27839,+20.11789,57.39628,+57.23578,114.63206,+204.86315,319.49521,+58.19786,377.69307,+91.33738,469.03045,+169.62343,638.65388,
"Totals",4382,,4382.00000,,4382.00000,,4382.00000,,4382.00000,,4382.00000,,4382.00000,,4382.00000
