"Election for","Tillydrone/Seaton/Old Aberdeen Ward"
"Date","12 Apr 2020"
"Number to be elected",3
"Valid votes",3217
"Invalid votes",0
"Quota",805.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ross GRANT (Lab)",,"Alexander MCLELLAN (SNP)",,"Dave MACDONALD (NF)",,"Stephen ADAMS (UKIP)",,"Jenny WILSON (LD)",,"Alex ARTHUR (Grn)",,"Ramsay MILNE (Lab)",,"Emma FARQUHAR (C)",
"Stephen ADAMS (UKIP)",53,+0.92963,53.92963,+0.09696,54.02659,+6.00000,60.02659,-60.02659,"-",,"-",,"-",,"-",,"-",
"Alex ARTHUR (Grn)",178,+2.50285,180.50285,+0.55752,181.06037,+1.00000,182.06037,+6.19150,188.25187,+43.09575,231.34762,-231.34762,"-",,"-",,"-",
"Emma FARQUHAR (C)",342,+2.28832,344.28832,+0.19392,344.48224,+6.00000,350.48224,+22.00000,372.48224,+36.26301,408.74525,+23.38179,432.12704,+39.10145,471.22849,-471.22849,"-",
"Ross GRANT (Lab)",867,-62.00000,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,"Elected"
"Dave MACDONALD (NF)",29,+0.28604,29.28604,,29.28604,-29.28604,"-",,"-",,"-",,"-",,"-",,"-",
"Alexander MCLELLAN (SNP)",825,,825.00000,-20.00000,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,,805.00000,"Elected"
"Ramsay MILNE (Lab)",245,+43.33506,288.33506,+0.46056,288.79562,+4.21453,293.01015,+3.42906,296.43921,+30.50057,326.93978,+52.95508,379.89486,-379.89486,"-",,"-",
"Jim NOBLE (SNP)",545,+4.57664,549.57664,+17.28312,566.85976,+3.00000,569.85976,+13.02424,582.88400,+12.28725,595.17125,+87.76842,682.93967,+91.53870,774.47837,+65.21923,839.69760,"Elected"
"Jenny WILSON (LD)",133,+1.28718,134.28718,+0.16968,134.45686,+3.00000,137.45686,+5.14302,142.59988,-142.59988,"-",,"-",,"-",,"-",
"Non-transferable", ,+6.79428,6.79428,+1.23824,8.03252,+6.07151,14.10403,+10.23877,24.34280,+20.45330,44.79610,+67.24233,112.03843,+249.25471,361.29314,+406.00926,767.30240,
"Totals",3217,,3217.00000,,3217.00000,,3217.00000,,3217.00000,,3217.00000,,3217.00000,,3217.00000,,3217.00000
