"Election for","Lower Deeside Ward"
"Date","12 Apr 2020"
"Number to be elected",3
"Valid votes",6811
"Invalid votes",0
"Quota",1703.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Philip BELL (C)",,"Robbie BOWMAN (Libtn)",,"Kenneth Raymond PRATT (Ind)",,"Nir OREN (Grn)",,"Ken MCLEOD (LD)",,"Marie BOULTON (Ind)",,"Pamela Diane MCBAIN (SNP)",
"Philip BELL (C)",2714,-1011.00000,1703.00000,,1703.00000,,1703.00000,,1703.00000,,1703.00000,,1703.00000,,1703.00000,"Elected"
"Marie BOULTON (Ind)",1119,+330.41637,1449.41637,+3.11753,1452.53390,+59.46813,1512.00203,+44.09761,1556.09964,+266.65937,1822.75901,-119.75901,1703.00000,,1703.00000,"Elected"
"Robbie BOWMAN (Libtn)",31,+14.90040,45.90040,-45.90040,"-",,"-",,"-",,"-",,"-",,"-",
"M. Tauqeer MALIK (Lab)",1040,+115.47810,1155.47810,+9.60757,1165.08567,+46.05777,1211.14344,+30.49004,1241.63348,+206.23108,1447.86456,+49.43291,1497.29747,+479.52885,1976.82632,"Elected"
"Pamela Diane MCBAIN (SNP)",1028,+14.90040,1042.90040,+6.49004,1049.39044,+19.37251,1068.76295,+77.11753,1145.88048,+78.56773,1224.44821,+10.69737,1235.14558,-1235.14558,"-",
"Ken MCLEOD (LD)",541,+202.64544,743.64544,+8.21514,751.86058,+18.82271,770.68329,+45.35259,816.03588,-816.03588,"-",,"-",,"-",
"Nir OREN (Grn)",195,+14.52789,209.52789,+3.74502,213.27291,+10.49004,223.76295,-223.76295,"-",,"-",,"-",,"-",
"Kenneth Raymond PRATT (Ind)",143,+59.97411,202.97411,+2.74502,205.71913,-205.71913,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+258.15729,258.15729,+11.98008,270.13737,+51.50797,321.64534,+26.70518,348.35052,+264.57770,612.92822,+59.62873,672.55695,+755.61673,1428.17368,
"Totals",6811,,6811.00000,,6811.00000,,6811.00000,,6811.00000,,6811.00000,,6811.00000,,6811.00000
