"Election for","Kincorth/Nigg/Cove Ward"
"Date","12 Apr 2020"
"Number to be elected",4
"Valid votes",5176
"Invalid votes",0
"Quota",1036.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Stephen FLYNN (SNP)",,"Philip SELLAR (C)",,"Finlay CROSSAN (Ind)",,"Alex NICOLL (SNP)",,"Cameron FINNIE (LD)",,"Lynn THOMSON (Lab)",,"Andy FINLAYSON (Ind)",
"Finlay CROSSAN (Ind)",220,+4.12592,224.12592,+8.78586,232.91178,-232.91178,"-",,"-",,"-",,"-",,"-",
"Sarah DUNCAN (Lab)",590,+5.67314,595.67314,+6.22620,601.89934,+13.55344,615.45278,+0.46583,615.91861,+55.04706,670.96567,+289.10761,960.07328,+238.49368,1198.56696,"Elected"
"Andy FINLAYSON (Ind)",562,+9.54119,571.54119,+14.38944,585.93063,+133.56588,719.49651,+1.30997,720.80648,+91.25853,812.06501,+33.43973,845.50474,-845.50474,"-",
"Cameron FINNIE (LD)",270,+3.09444,273.09444,+13.14420,286.23864,+19.01885,305.25749,+0.66953,305.92702,-305.92702,"-",,"-",,"-",
"Stephen FLYNN (SNP)",1396,-360.00000,1036.00000,,1036.00000,,1036.00000,,1036.00000,,1036.00000,,1036.00000,,1036.00000,"Elected"
"Alex NICOLL (SNP)",707,+313.31205,1020.31205,+2.76720,1023.07925,+18.87427,1041.95352,-5.95352,1036.00000,,1036.00000,,1036.00000,,1036.00000,"Elected"
"Philip SELLAR (C)",1113,,1113.00000,-77.00000,1036.00000,,1036.00000,,1036.00000,,1036.00000,,1036.00000,,1036.00000,"Elected"
"Lynn THOMSON (Lab)",318,+4.12592,322.12592,+7.40226,329.52818,+14.13836,343.66654,+0.41569,344.08223,+44.20194,388.28417,-388.28417,"-",,"-",
"Non-transferable", ,+20.12734,20.12734,+24.28484,44.41218,+33.76098,78.17316,+3.09250,81.26566,+115.41949,196.68515,+65.73683,262.42198,+607.01106,869.43304,
"Totals",5176,,5176.00000,,5176.00000,,5176.00000,,5176.00000,,5176.00000,,5176.00000,,5176.00000
