"Election for","Ward 3 - Fraserburgh and District"
"Date","25 Apr 2020"
"Number to be elected",4
"Valid votes",5100
"Invalid votes",0
"Quota",1021.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Andy KILLE (C)",,"David DONN (SNP)",,"Charlie REID (Ind)",,"KENNETH DUNCAN WATT (Lab)",,"Ann BELL (LD)",,"Doreen MAIR (Ind)",,"MICHAEL WATT (Ind)",,"Ian TAIT (Ind)",
"Ann BELL (LD)",262,+29.61700,291.61700,+7.16924,298.78624,+14.50772,313.29396,+48.93884,362.23280,-362.23280,"-",,"-",,"-",,"-",
"Charles Cummin BUCHAN (SNP)",614,+3.04632,617.04632,+140.50772,757.55404,+25.00000,782.55404,+28.00000,810.55404,+44.18468,854.73872,+4.39230,859.13102,+50.41717,909.54819,+89.17031,998.71850,"Elected"
"David DONN (SNP)",256,+1.18468,257.18468,-257.18468,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Andy KILLE (C)",1229,-208.00000,1021.00000,,1021.00000,,1021.00000,,1021.00000,,1021.00000,,1021.00000,,1021.00000,,1021.00000,"Elected"
"Doreen MAIR (Ind)",743,+38.24824,781.24824,+9.00000,790.24824,+82.86164,873.10988,+76.86164,949.97152,+110.96972,1060.94124,-39.94124,1021.00000,,1021.00000,,1021.00000,"Elected"
"Charlie REID (Ind)",252,+6.09264,258.09264,+9.00000,267.09264,-267.09264,"-",,"-",,"-",,"-",,"-",,"-",
"Ian TAIT (Ind)",496,+32.66332,528.66332,+3.00000,531.66332,+32.67696,564.34028,+25.18468,589.52496,+47.26188,636.78684,+6.85223,643.63907,+99.50919,743.14826,-743.14826,"-",
"Brian Anderson TOPPING (SNP)",652,+1.01544,653.01544,+56.16924,709.18468,+22.00000,731.18468,+31.50772,762.69240,+13.33848,776.03088,+4.46700,780.49788,+46.00341,826.50129,+141.95155,968.45284,"Elected"
"KENNETH DUNCAN WATT (Lab)",267,+14.72388,281.72388,+5.16924,286.89312,+24.16924,311.06236,-311.06236,"-",,"-",,"-",,"-",,"-",
"MICHAEL WATT (Ind)",329,+22.84740,351.84740,+7.00000,358.84740,+37.84620,396.69360,+32.35392,429.04752,+41.06176,470.10928,+8.19974,478.30902,-478.30902,"-",,"-",
"Non-transferable", ,+58.56108,58.56108,+20.16924,78.73032,+28.03088,106.76120,+68.21556,174.97676,+105.41628,280.39304,+16.02997,296.42301,+282.37925,578.80226,+512.02640,1090.82866,
"Totals",5100,,5100.00000,,5100.00000,,5100.00000,,5100.00000,,5100.00000,,5100.00000,,5100.00000,,5100.00000
