"Election for","Arbroath East and Lunan"
"Date","30 May 2020"
"Number to be elected",3
"Valid votes",3486
"Invalid votes",0
"Quota",872.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",
"Candidates","Preferences","Mark SMITH (LD)",,"Ian WATSON (Ind)",,"John RUDDY (ab)",,"Derek WANN (C)",,"Kevin SMITH (Ind)",,"Lois SPEED (Ind)",
"Brenda DURNO (SNP)",786,+5.00000,791.00000,+2.00000,793.00000,+29.00000,822.00000,+0.64360,822.64360,+18.06436,840.70796,+38.44762,879.15558,"Elected"
"John RUDDY (ab)",257,+4.00000,261.00000,+2.00000,263.00000,-263.00000,"-",,"-",,"-",,"-",
"Kevin SMITH (Ind)",254,+14.00000,268.00000,+25.00000,293.00000,+55.00000,348.00000,+8.07718,356.07718,-356.07718,"-",,"-",
"Mark SMITH (LD)",56,-56.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Lois SPEED (Ind)",763,+10.00000,773.00000,+25.00000,798.00000,+60.00000,858.00000,+7.33704,865.33704,+206.08686,1071.42390,-199.42390,872.00000,"Elected"
"Derek WANN (C)",852,+8.00000,860.00000,+6.00000,866.00000,+35.00000,901.00000,-29.00000,872.00000,,872.00000,,872.00000,"Elected"
"Ian WATSON (Ind)",72,+2.00000,74.00000,-74.00000,"-",,"-",,"-",,"-",,"-",
"Sheena WELSH (SNP)",446,+1.00000,447.00000,+2.00000,449.00000,+17.00000,466.00000,+0.77232,466.77232,+13.06436,479.83668,+22.47792,502.31460,
"Non-transferable", ,+12.00000,12.00000,+12.00000,24.00000,+67.00000,91.00000,+12.16986,103.16986,+118.86160,222.03146,+138.49836,360.52982,
"Totals",3486,,3486.00000,,3486.00000,,3486.00000,,3486.00000,,3486.00000,,3486.00000
