"Election for","Oban South and the Isles"
"Date","12 Jun 2020"
"Number to be elected",4
"Valid votes",3825
"Invalid votes",0
"Quota",766.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Roddy MCCUISH (Ind)",,"David POLLARD (LD)",,"Mary-Jean DEVON (Ind)",,"Alistair MACDOUGALL (Ind)",,"Jake AINSCOUGH (Lab)",,"Sean MACINTYRE (SNP)",
"Jake AINSCOUGH (Lab)",226,+3.01484,229.01484,+28.46782,257.48266,+2.28390,259.76656,+17.03622,276.80278,-276.80278,"-",,"-",
"Mary-Jean DEVON (Ind)",734,+10.08412,744.08412,+45.72772,789.81184,-23.81184,766.00000,,766.00000,,766.00000,,766.00000,"Elected"
"Jim LYNCH (SNP)",613,+3.69058,616.69058,+3.10396,619.79454,+3.22604,623.02058,+14.41670,637.43728,+42.52746,679.96474,+484.30984,1164.27458,"Elected"
"Alistair MACDOUGALL (Ind)",155,+3.22276,158.22276,+11.25990,169.48266,+9.77996,179.26262,-179.26262,"-",,"-",,"-",
"Sean MACINTYRE (SNP)",506,+5.50988,511.50988,+8.00000,519.50988,+1.36360,520.87348,+18.21246,539.08594,+33.65172,572.73766,-572.73766,"-",
"Roddy MCCUISH (Ind)",808,-42.00000,766.00000,,766.00000,,766.00000,,766.00000,,766.00000,,766.00000,"Elected"
"Jamie MCGRIGOR (C)",629,+7.32918,636.32918,+31.57178,667.90096,+3.13200,671.03296,+41.47272,712.50568,+46.54262,759.04830,+10.91324,769.96154,"Elected"
"David POLLARD (LD)",154,+2.39108,156.39108,-156.39108,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+6.75756,6.75756,+28.25990,35.01746,+4.02634,39.04380,+88.12452,127.16832,+154.08098,281.24930,+77.51458,358.76388,
"Totals",3825,,3825.00000,,3825.00000,,3825.00000,,3825.00000,,3825.00000,,3825.00000
