"Election for","Oban North and Lorn"
"Date","12 Jun 2020"
"Number to be elected",4
"Valid votes",4149
"Invalid votes",0
"Quota",830.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Elaine ROBERTSON (Ind)",,"Allan MCKIE (Ind)",,"Brian BURNETT (Ind)",,"Grant NICHOLSON (Ind)",,"Neil MACKAY (Ind)",,"William MOHIEDDEEN (Grn)",,"Breege SMYTH (SNP)",
"Brian BURNETT (Ind)",111,+3.99960,114.99960,+3.09090,118.09050,-118.09050,"-",,"-",,"-",,"-",,"-",
"Kieron GREEN (Ind)",485,+30.81510,515.81510,+3.45450,519.26960,+43.99990,563.26950,+37.27260,600.54210,+76.45420,676.99630,+87.18170,764.17800,+32.81800,796.99600,"Elected"
"Neil MACKAY (Ind)",182,+7.54470,189.54470,+20.72720,210.27190,+12.09080,222.36270,+40.09070,262.45340,-262.45340,"-",,"-",,"-",
"Julie MCKENZIE (SNP)",690,+4.63590,694.63590,+4.00000,698.63590,+6.18180,704.81770,+12.27270,717.09040,+37.72720,754.81760,+74.36360,829.18120,+527.27250,1356.45370,"Elected"
"Allan MCKIE (Ind)",62,+2.27250,64.27250,-64.27250,"-",,"-",,"-",,"-",,"-",,"-",
"William MOHIEDDEEN (Grn)",304,+3.45420,307.45420,+1.00000,308.45420,+12.18180,320.63600,+7.27270,327.90870,+14.45450,342.36320,-342.36320,"-",,"-",
"Grant NICHOLSON (Ind)",154,+5.18130,159.18130,+7.54540,166.72670,+10.18180,176.90850,-176.90850,"-",,"-",,"-",,"-",
"Elaine ROBERTSON (Ind)",913,-83.00000,830.00000,,830.00000,,830.00000,,830.00000,,830.00000,,830.00000,,830.00000,"Elected"
"Breege SMYTH (SNP)",538,+5.09040,543.09040,+3.00000,546.09040,+2.09090,548.18130,+14.00000,562.18130,+19.36360,581.54490,+65.63630,647.18120,-647.18120,"-",
"Andrew VENNARD (C)",710,+11.81700,721.81700,+6.09090,727.90790,+18.63630,746.54420,+22.81810,769.36230,+20.27260,789.63490,+24.45450,814.08940,+14.27270,828.36210,"Elected"
"Non-transferable", ,+8.18930,8.18930,+15.36360,23.55290,+12.72720,36.28010,+43.18170,79.46180,+94.18130,173.64310,+90.72710,264.37020,+72.81800,337.18820,
"Totals",4149,,4149.00000,,4149.00000,,4149.00000,,4149.00000,,4149.00000,,4149.00000,,4149.00000
