"Election for","Dunoon"
"Date","12 Jun 2020"
"Number to be elected",3
"Valid votes",2925
"Invalid votes",0
"Quota",732.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Brian LOGAN (Ind)",,"Jimmy MCQUEEN (Ind)",,"Gordon MCKINVEN (Ind)",,"Mick RICE (Lab)",,"John ALLISON (Ind)",,"Ross MORELAND (LD)",,"Keir LOW (SNP)",
"John ALLISON (Ind)",216,+21.00000,237.00000,+19.00000,256.00000,+49.00000,305.00000,+25.00000,330.00000,-330.00000,"-",,"-",,"-",
"Jim ANDERSON (Ind)",313,+26.00000,339.00000,+14.00000,353.00000,+38.00000,391.00000,+21.00000,412.00000,+130.00000,542.00000,+116.00000,658.00000,+29.00000,687.00000,"Elected"
"Audrey E FORREST (SNP)",575,+5.00000,580.00000,+13.00000,593.00000,+7.00000,600.00000,+16.00000,616.00000,+22.00000,638.00000,+32.00000,670.00000,+394.00000,1064.00000,"Elected"
"Bobby GOOD (C)",534,+5.00000,539.00000,+18.00000,557.00000,+27.00000,584.00000,+18.00000,602.00000,+41.00000,643.00000,+89.00000,732.00000,,732.00000,"Elected"
"Brian LOGAN (Ind)",121,-121.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Keir LOW (SNP)",411,+10.00000,421.00000,+2.00000,423.00000,+14.00000,437.00000,+18.00000,455.00000,+12.00000,467.00000,+20.00000,487.00000,-487.00000,"-",
"Gordon MCKINVEN (Ind)",154,+10.00000,164.00000,+31.00000,195.00000,-195.00000,"-",,"-",,"-",,"-",,"-",
"Jimmy MCQUEEN (Ind)",142,+8.00000,150.00000,-150.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Ross MORELAND (LD)",264,+11.00000,275.00000,+11.00000,286.00000,+20.00000,306.00000,+66.00000,372.00000,+34.00000,406.00000,-406.00000,"-",,"-",
"Mick RICE (Lab)",195,+8.00000,203.00000,+13.00000,216.00000,+11.00000,227.00000,-227.00000,"-",,"-",,"-",,"-",
"Non-transferable", ,+17.00000,17.00000,+29.00000,46.00000,+29.00000,75.00000,+63.00000,138.00000,+91.00000,229.00000,+149.00000,378.00000,+64.00000,442.00000,
"Totals",2925,,2925.00000,,2925.00000,,2925.00000,,2925.00000,,2925.00000,,2925.00000,,2925.00000
