"Election for","Helensburgh and Lomond South"
"Date","12 Jun 2020"
"Number to be elected",3
"Valid votes",2949
"Invalid votes",0
"Quota",738.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","David KINNIBURGH (C)",,"Jack William STREETER (UKIP)",,"Ian MACQUIRE (Ind)",,"Christopher FAGAN (Lab)",,"Jacqueline DAVIS (LD)",,"Ellen MORTON (LD)",,"Mike CROWE (Ind)",
"Mike CROWE (Ind)",248,+61.16670,309.16670,+12.08090,321.24760,+56.59260,377.84020,+56.43860,434.27880,+49.65790,483.93670,+25.53409,509.47079,-509.47079,"-",
"Jacqueline DAVIS (LD)",239,+60.09360,299.09360,+5.21930,304.31290,+18.50390,322.81680,+72.08870,394.90550,-394.90550,"-",,"-",,"-",
"Christopher FAGAN (Lab)",250,+37.20080,287.20080,+4.43080,291.63160,+13.78850,305.42010,-305.42010,"-",,"-",,"-",,"-",
"David KINNIBURGH (C)",1149,-411.00000,738.00000,,738.00000,,738.00000,,738.00000,,738.00000,,738.00000,,738.00000,"Elected"
"Ian MACQUIRE (Ind)",94,+25.75440,119.75440,+9.29240,129.04680,-129.04680,"-",,"-",,"-",,"-",,"-",
"Ellen MORTON (LD)",412,+109.45620,521.45620,+5.50390,526.96010,+13.57700,540.53710,+74.94250,615.47960,+231.70470,847.18430,-109.18430,738.00000,,738.00000,"Elected"
"Jack William STREETER (UKIP)",32,+25.03900,57.03900,-57.03900,"-",,"-",,"-",,"-",,"-",,"-",
"Richard TRAIL (SNP)",525,+3.21930,528.21930,+1.35770,529.57700,+5.07310,534.65010,+28.35770,563.00780,+20.35770,583.36550,+10.79784,594.16334,+136.57017,730.73351,"Elected"
"Non-transferable", ,+89.07000,89.07000,+19.15400,108.22400,+21.51170,129.73570,+73.59260,203.32830,+93.18520,296.51350,+72.85237,369.36587,+372.90062,742.26649,
"Totals",2949,,2949.00000,,2949.00000,,2949.00000,,2949.00000,,2949.00000,,2949.00000,,2949.00000
