"Election for","Mid Galloway and Wigtown West"
"Date","20 May 2020"
"Number to be elected",4
"Valid votes",5382
"Invalid votes",0
"Quota",1077.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","David INGLIS (C)",,"John MCCUTCHEON (Ind)",,"Barbara Anne BANNATYNE (Grn)",,"Matthew CURRY (Lab)",,"Jim MCCOLM (Ind)",,"Richard OXLEY (Ind)",,"Graham NICOL (C)",,"Steve NORRIS (SNP)",
"Barbara Anne BANNATYNE (Grn)",116,+2.32350,118.32350,+3.46470,121.78820,-121.78820,"-",,"-",,"-",,"-",,"-",,"-",
"Matthew CURRY (Lab)",368,+7.66755,375.66755,+4.23235,379.89990,+27.46470,407.36460,-407.36460,"-",,"-",,"-",,"-",,"-",
"Katie HAGMANN (SNP)",701,+2.32350,703.32350,+5.00000,708.32350,+25.00000,733.32350,+73.16175,806.48525,+5.17867,811.66392,+48.35145,860.01537,+7.80047,867.81584,+549.02589,1416.84173,"Elected"
"David INGLIS (C)",1403,-326.00000,1077.00000,,1077.00000,,1077.00000,,1077.00000,,1077.00000,,1077.00000,,1077.00000,,1077.00000,"Elected"
"Jim MCCOLM (Ind)",976,+36.01425,1012.01425,+15.23235,1027.24660,+23.00000,1050.24660,+108.16175,1158.40835,-81.40835,1077.00000,,1077.00000,,1077.00000,,1077.00000,"Elected"
"John MCCUTCHEON (Ind)",48,+1.85880,49.85880,-49.85880,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Graham NICOL (C)",723,+237.46170,960.46170,+2.46470,962.92640,+8.09115,971.01755,+38.62645,1009.64400,+22.47818,1032.12218,+202.51205,1234.63423,-157.63423,1077.00000,,1077.00000,"Elected"
"Steve NORRIS (SNP)",572,+2.32350,574.32350,+3.23235,577.55585,+10.00000,587.55585,+18.69705,606.25290,+6.58407,612.83697,+44.56226,657.39923,+7.47265,664.87188,-664.87188,"-",
"Richard OXLEY (Ind)",475,+13.01160,488.01160,+8.23235,496.24395,+10.00000,506.24395,+45.69705,551.94100,+27.48461,579.42561,-579.42561,"-",,"-",,"-",
"Non-transferable", ,+23.01560,23.01560,+8.00000,31.01560,+18.23235,49.24795,+123.02055,172.26850,+19.68282,191.95132,+283.99985,475.95117,+142.36111,618.31228,+115.84599,734.15827,
"Totals",5382,,5382.00000,,5382.00000,,5382.00000,,5382.00000,,5382.00000,,5382.00000,,5382.00000,,5382.00000
