"Election for","Dee and Glenkens"
"Date","20 May 2020"
"Number to be elected",3
"Valid votes",4622
"Invalid votes",0
"Quota",1156.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Patsy GILROY (C)",,"John THOM (Ind)",,"Andrew METCALF (LD)",,"Andi HOLMES (Ind)",,"Elizabeth MAXWELL (Lab)",,"Laura MOODIE (Grn)",,"Douglas SWAN (Ind)",
"Dougie CAMPBELL (SNP)",904,+5.30754,909.30754,+7.50548,916.81302,+4.50548,921.31850,+13.50548,934.82398,+32.25274,967.07672,+154.75822,1121.83494,+128.26370,1250.09864,"Elected"
"Patsy GILROY (C)",1547,-391.00000,1156.00000,,1156.00000,,1156.00000,,1156.00000,,1156.00000,,1156.00000,,1156.00000,"Elected"
"Andi HOLMES (Ind)",120,+24.51578,144.51578,+12.76918,157.28496,+17.28562,174.57058,-174.57058,"-",,"-",,"-",,"-",
"Jane MAITLAND (Ind)",664,+160.48990,824.48990,+8.78014,833.27004,+17.29658,850.56662,+87.13152,937.69814,+45.56028,983.25842,+113.52740,1096.78582,+425.87812,1522.66394,"Elected"
"Elizabeth MAXWELL (Lab)",217,+20.72468,237.72468,+1.25274,238.97742,+19.28562,258.26304,+4.02192,262.28496,-262.28496,"-",,"-",,"-",
"Andrew METCALF (LD)",85,+21.73564,106.73564,+5.25274,111.98838,-111.98838,"-",,"-",,"-",,"-",,"-",
"Laura MOODIE (Grn)",292,+11.87878,303.87878,+2.00000,305.87878,+15.79110,321.66988,+11.75822,333.42810,+68.78014,402.20824,-402.20824,"-",,"-",
"Douglas SWAN (Ind)",732,+56.10828,788.10828,+16.01096,804.11924,+13.51644,817.63568,+26.56028,844.19596,+42.29658,886.49254,+39.05480,925.54734,-925.54734,"-",
"John THOM (Ind)",61,+9.60412,70.60412,-70.60412,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+80.63528,80.63528,+17.03288,97.66816,+24.30754,121.97570,+31.59316,153.56886,+73.39522,226.96408,+94.86782,321.83190,+371.40552,693.23742,
"Totals",4622,,4622.00000,,4622.00000,,4622.00000,,4622.00000,,4622.00000,,4622.00000,,4622.00000
