"Election for","Lochar"
"Date","20 May 2020"
"Number to be elected",4
"Valid votes",4994
"Invalid votes",0
"Quota",999.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","John CHARTERIS (C)",,"Ivor HYSLOP (C)",,"Arthur David RAMSAY (Grn)",,"Keith WALTERS (Lab)",,"Maureen JOHNSTONE (Ind)",,"Joe MCGURK (SNP)",,"Tracey LITTLE (SNP)",,"Yen HONGMEI JIN (Ind)",
"John CHARTERIS (C)",1208,-209.00000,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,"Elected"
"Yen HONGMEI JIN (Ind)",606,+14.70585,620.70585,+0.26675,620.97260,+16.17677,637.14937,+15.00000,652.14937,+125.06922,777.21859,+9.00000,786.21859,+24.37510,810.59369,-810.59369,"-",
"Ivor HYSLOP (C)",843,+157.61211,1000.61211,-1.61211,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,"Elected"
"Maureen JOHNSTONE (Ind)",299,+11.93769,310.93769,+0.26753,311.20522,+11.52333,322.72855,+4.00322,326.73177,-326.73177,"-",,"-",,"-",,"-",
"Jeff LEAVER (Lab)",685,+3.28719,688.28719,+0.21585,688.50304,+13.17838,701.68142,+131.55796,833.23938,+42.71997,875.95935,+23.34763,899.30698,+17.47418,916.78116,+236.85868,1153.63984,"Elected"
"Tracey LITTLE (SNP)",659,+2.07612,661.07612,+0.01827,661.09439,+24.00161,685.09600,+4.00161,689.09761,+21.35246,710.45007,+389.53245,1099.98252,-100.98252,999.00000,,999.00000,"Elected"
"Joe MCGURK (SNP)",416,+1.21107,417.21107,+0.02335,417.23442,+23.34602,440.58044,+7.00000,447.58044,+12.17301,459.75345,-459.75345,"-",,"-",,"-",
"Arthur David RAMSAY (Grn)",120,+1.38408,121.38408,+0.04110,121.42518,-121.42518,"-",,"-",,"-",,"-",,"-",,"-",
"Keith WALTERS (Lab)",158,+0.69204,158.69204,+0.05208,158.74412,+17.17838,175.92250,-175.92250,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+16.09385,16.09385,+0.72718,16.82103,+16.02069,32.84172,+14.35971,47.20143,+125.41711,172.61854,+37.87337,210.49191,+59.13324,269.62515,+573.73501,843.36016,
"Totals",4994,,4994.00000,,4994.00000,,4994.00000,,4994.00000,,4994.00000,,4994.00000,,4994.00000,,4994.00000
