"Election for","Lochee"
"Date","23 May 2020"
"Number to be elected",4
"Valid votes",5802
"Invalid votes",0
"Quota",1161.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alan ROSS (SNP)",,"Roisin SMITH (SNP)",,"Kirsty Anne MCKENZIE (LD)",,"Lynn HUTCHISON (LD)",,"Leah GANLEY (TUSC)",,"Gordon William MATHESON (Grn)",,"Tom FERGUSON (Ind)",,"Charlie MALONE (Lab)",,"Mason MCILREAVY (C)",
"Tom FERGUSON (Ind)",565,+9.33162,574.33162,+8.05040,582.38202,+2.00000,584.38202,+13.14516,597.52718,+26.11866,623.64584,+49.74156,673.38740,-673.38740,"-",,"-",,"-",
"Leah GANLEY (TUSC)",102,+2.10714,104.10714,+3.94892,108.05606,+2.00000,110.05606,+2.15256,112.20862,-112.20862,"-",,"-",,"-",,"-",,"-",
"Lynn HUTCHISON (LD)",91,+0.60204,91.60204,+0.60360,92.20564,+14.33934,106.54498,-106.54498,"-",,"-",,"-",,"-",,"-",,"-",
"Charlie MALONE (Lab)",924,+9.33162,933.33162,+7.01208,940.34370,+3.34694,943.69064,+16.16812,959.85876,+33.56838,993.42714,+27.55294,1020.98008,+196.67132,1217.65140,-56.65140,1161.00000,,1161.00000,"Elected"
"Michael MARRA (Lab)",778,+7.52550,785.52550,+7.66596,793.19146,+1.29772,794.48918,+18.32398,812.81316,+6.60204,819.41520,+28.94934,848.36454,+120.09930,968.46384,+44.07290,1012.53674,+229.28128,1241.81802,"Elected"
"Gordon William MATHESON (Grn)",132,+5.41836,137.41836,+26.22916,163.64752,+2.59874,166.24626,+19.54212,185.78838,+20.75206,206.54044,-206.54044,"-",,"-",,"-",,"-",
"Mason MCILREAVY (C)",700,+2.40816,702.40816,+1.50416,703.91232,+4.27476,708.18708,+16.30102,724.48810,+4.00000,728.48810,+10.72094,739.20904,+73.97274,813.18178,+1.77138,814.95316,-814.95316,"-",
"Kirsty Anne MCKENZIE (LD)",31,+1.50510,32.50510,+2.60320,35.10830,-35.10830,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Alan ROSS (SNP)",1661,-500.00000,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,"Elected"
"Roisin SMITH (SNP)",818,+438.88716,1256.88716,-95.88716,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,,1161.00000,"Elected"
"Non-transferable", ,+22.88330,22.88330,+38.26968,61.15298,+5.25080,66.40378,+20.91202,87.31580,+21.16748,108.48328,+89.57566,198.05894,+282.64404,480.70298,+10.80712,491.51010,+585.67188,1077.18198,
"Totals",5802,,5802.00000,,5802.00000,,5802.00000,,5802.00000,,5802.00000,,5802.00000,,5802.00000,,5802.00000,,5802.00000
