"Election for","Coldside"
"Date","23 May 2020"
"Number to be elected",4
"Valid votes",5622
"Invalid votes",0
"Quota",1125.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Mark FLYNN (SNP)",,"Anne RENDALL (SNP)",,"Christopher John MCINTYRE (LD)",,"Wayne Frank SCOTT (TUSC)",,"Kristopher James HALL (LD)",,"Conor Andrew MARSHALL (Grn)",,"Mohammed ASIF (Ind)",,"George MCIRVINE (Lab)",,"Duncan SHAW (C)",
"Mohammed ASIF (Ind)",481,+14.22084,495.22084,+8.85077,504.07161,+1.00000,505.07161,+5.24439,510.31600,+18.84724,529.16324,+86.67292,615.83616,-615.83616,"-",,"-",,"-",
"Mark FLYNN (SNP)",1560,-435.00000,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,"Elected"
"Kristopher James HALL (LD)",101,+5.01912,106.01912,+2.74834,108.76746,+30.28406,139.05152,+2.10209,141.15361,-141.15361,"-",,"-",,"-",,"-",,"-",
"Conor Andrew MARSHALL (Grn)",232,+20.35532,252.35532,+39.26396,291.61928,+3.53994,295.15922,+32.80755,327.96677,+23.11356,351.08033,-351.08033,"-",,"-",,"-",,"-",
"Christopher John MCINTYRE (LD)",57,+3.90376,60.90376,+1.37913,62.28289,-62.28289,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"George MCIRVINE (Lab)",933,+18.40344,951.40344,+8.12439,959.52783,+5.83652,965.36435,+9.30627,974.67062,+21.40492,996.07554,+63.85942,1059.93496,+163.94031,1223.87527,-98.87527,1125.00000,,1125.00000,"Elected"
"Anne RENDALL (SNP)",925,+327.91584,1252.91584,-127.91584,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,"Elected"
"Wayne Frank SCOTT (TUSC)",82,+2.78840,84.78840,+5.90504,90.69344,+3.27884,93.97228,-93.97228,"-",,"-",,"-",,"-",,"-",,"-",
"Duncan SHAW (C)",618,+3.06724,621.06724,+1.03944,622.10668,+3.27884,625.38552,+3.05692,628.44244,+29.05692,657.49936,+6.43235,663.93171,+45.91488,709.84659,+5.27505,715.12164,-715.12164,"-",
"Helen WRIGHT (Lab)",633,+5.01912,638.01912,+9.87663,647.89575,+2.55768,650.45343,+13.56840,664.02183,+13.89344,677.91527,+47.95949,725.87476,+117.78796,843.66272,+65.27509,908.93781,+230.83230,1139.77011,"Elected"
"Non-transferable", ,+34.30692,34.30692,+50.72814,85.03506,+12.50701,97.54207,+27.88666,125.42873,+34.83753,160.26626,+146.15615,306.42241,+288.19301,594.61542,+28.32513,622.94055,+484.28934,1107.22989,
"Totals",5622,,5622.00000,,5622.00000,,5622.00000,,5622.00000,,5622.00000,,5622.00000,,5622.00000,,5622.00000,,5622.00000
