"Election for","North East"
"Date","23 May 2020"
"Number to be elected",3
"Valid votes",3826
"Invalid votes",0
"Quota",957.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2
,"First","Surplus of",
"Candidates","Preferences","Gregor MURRAY (SNP)",
"Alan BEDDOWS (Ind)",223,+6.18930,229.18930,
"Brian GORDON (Lab)",1033,,1033.00000,"Elected"
"Curtis LARGE (C)",350,+1.42830,351.42830,
"Tracy MULHOLLAND (LD)",50,+1.90440,51.90440,
"Gregor MURRAY (SNP)",1256,-299.00000,957.00000,"Elected"
"Alison Catherine ORR (Grn)",62,+9.04590,71.04590,
"Willie SAWERS (SNP)",800,+257.57010,1057.57010,"Elected"
"Michael TAYLOR (TUSC)",52,+4.52295,56.52295,
"Non-transferable", ,+18.33905,18.33905,
"Totals",3826,,3826.00000
