"Election for","The Ferry"
"Date","23 May 2020"
"Number to be elected",4
"Valid votes",8975
"Invalid votes",0
"Quota",1796.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Derek SCOTT (C)",,"Paul JOHNSON (TUSC)",,"Calum David Alexander WALKER (UKIP)",,"Pol Stanley CLEMENTSMITH (Grn)",,"Angela LYALL (Lab)",,"Craig DUNCAN (LD)",,"Kevin Malcolm CORDELL (SNP)",,"Vari MCDONALD (SNP)",
"Pol Stanley CLEMENTSMITH (Grn)",232,+5.20520,237.20520,+10.74360,247.94880,+2.00000,249.94880,-249.94880,"-",,"-",,"-",,"-",,"-",
"Kevin Malcolm CORDELL (SNP)",1608,+8.92320,1616.92320,+2.00000,1618.92320,+4.00000,1622.92320,+62.00000,1684.92320,+124.85900,1809.78220,,1809.78220,-13.78220,1796.00000,,1796.00000,"Elected"
"Craig DUNCAN (LD)",1422,+76.59080,1498.59080,+4.00000,1502.59080,+6.74360,1509.33440,+48.11540,1557.44980,+410.32060,1967.77040,-171.77040,1796.00000,,1796.00000,,1796.00000,"Elected"
"Paul JOHNSON (TUSC)",43,+1.85900,44.85900,-44.85900,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Angela LYALL (Lab)",1054,+25.28240,1079.28240,+14.00000,1093.28240,+4.00000,1097.28240,+42.37180,1139.65420,-1139.65420,"-",,"-",,"-",,"-",
"Vari MCDONALD (SNP)",1075,+4.46160,1079.46160,+5.00000,1084.46160,+1.00000,1085.46160,+54.37180,1139.83340,+90.74360,1230.57700,+30.17768,1260.75468,+12.09405,1272.84873,-1272.84873,"-",
"Derek SCOTT (C)",2859,-1063.00000,1796.00000,,1796.00000,,1796.00000,,1796.00000,,1796.00000,,1796.00000,,1796.00000,,1796.00000,"Elected"
"Philip SCOTT (C)",635,+897.89700,1532.89700,+1.74360,1534.64060,+21.85900,1556.49960,+9.85900,1566.35860,+113.64120,1679.99980,+52.59728,1732.59708,+0.10635,1732.70343,+280.94677,2013.65020,"Elected"
"Calum David Alexander WALKER (UKIP)",47,+3.71800,50.71800,+2.00000,52.71800,-52.71800,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+39.06280,39.06280,+5.37180,44.43460,+13.11540,57.55000,+33.23080,90.78080,+400.08980,490.87060,+88.99544,579.86604,+1.58180,581.44784,+991.90196,1573.34980,
"Totals",8975,,8975.00000,,8975.00000,,8975.00000,,8975.00000,,8975.00000,,8975.00000,,8975.00000,,8975.00000
