"Election for","Irvine Valley"
"Date","27 May 2020"
"Number to be elected",3
"Valid votes",4626
"Invalid votes",0
"Quota",1157.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Stevie BRANNAGAN (Libtn)",,"David R GARTLAND (Ind)",,"Ian KING (Ind)",,"Elena WHITHAM (SNP)",,"Margaret YOUNG (SNP)",,"Susan MCFADZEAN (C)",
"Stevie BRANNAGAN (Libtn)",14,-14.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Sally COGLEY (Rubbish)",784,+4.00000,788.00000,+4.00000,792.00000,+96.00000,888.00000,+1.28685,889.28685,+146.88630,1036.17315,+367.22380,1403.39695,"Elected"
"David R GARTLAND (Ind)",16,,16.00000,-16.00000,"-",,"-",,"-",,"-",,"-",
"Ian KING (Ind)",438,,438.00000,+6.00000,444.00000,-444.00000,"-",,"-",,"-",,"-",
"George MAIR (Lab)",775,+3.00000,778.00000,+2.00000,780.00000,+99.00000,879.00000,+1.11900,880.11900,+111.59945,991.71845,+241.29840,1233.01685,"Elected"
"Susan MCFADZEAN (C)",920,+1.00000,921.00000,+1.00000,922.00000,+42.00000,964.00000,+0.41030,964.41030,+24.70870,989.11900,-989.11900,"-",
"Elena WHITHAM (SNP)",1128,+3.00000,1131.00000,+1.00000,1132.00000,+47.00000,1179.00000,-22.00000,1157.00000,,1157.00000,,1157.00000,"Elected"
"Margaret YOUNG (SNP)",551,,551.00000,,551.00000,+36.00000,587.00000,+18.07185,605.07185,-605.07185,"-",,"-",
"Non-transferable", ,+3.00000,3.00000,+2.00000,5.00000,+124.00000,129.00000,+1.11200,130.11200,+321.87740,451.98940,+380.59680,832.58620,
"Totals",4626,,4626.00000,,4626.00000,,4626.00000,,4626.00000,,4626.00000,,4626.00000
