"Election for","Cumnock and New Cumnock"
"Date","27 May 2020"
"Number to be elected",4
"Valid votes",4462
"Invalid votes",0
"Quota",893.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Billy CRAWFORD (Lab)",,"Walter YOUNG (C)",,"Gordon BIRCHAM (Libtn)",,"Peter BLACK (Grn)",,"Jessie OWENS (Ind)",,"Carol Ann MOCHAN (Lab)",
"Gordon BIRCHAM (Libtn)",27,+1.50895,28.50895,+4.15338,32.66233,-32.66233,"-",,"-",,"-",,"-",
"Peter BLACK (Grn)",127,+9.05370,136.05370,+7.21897,143.27267,+6.59248,149.86515,-149.86515,"-",,"-",,"-",
"Billy CRAWFORD (Lab)",1279,-386.00000,893.00000,,893.00000,,893.00000,,893.00000,,893.00000,,893.00000,"Elected"
"Jim MCMAHON (SNP)",641,+15.39129,656.39129,+2.67003,659.06132,+1.00000,660.06132,+24.60272,684.66404,+58.50809,743.17213,+69.17295,812.34508,"Elected"
"Carol Ann MOCHAN (Lab)",295,+282.47544,577.47544,+22.25025,599.72569,+5.39982,605.12551,+21.00168,626.12719,+110.66913,736.79632,-736.79632,"-",
"Jessie OWENS (Ind)",371,+19.91814,390.91814,+20.47023,411.38837,+7.08779,418.47616,+42.87207,461.34823,-461.34823,"-",,"-",
"Jacqui TODD (SNP)",731,+9.65728,740.65728,+2.37336,743.03064,+2.00000,745.03064,+28.70673,773.73737,+57.89853,831.63590,+66.46540,898.10130,"Elected"
"Walter YOUNG (C)",991,,991.00000,-98.00000,893.00000,,893.00000,,893.00000,,893.00000,,893.00000,"Elected"
"Non-transferable", ,+47.99520,47.99520,+38.86378,86.85898,+10.58224,97.44122,+32.68195,130.12317,+234.27248,364.39565,+601.15797,965.55362,
"Totals",4462,,4462.00000,,4462.00000,,4462.00000,,4462.00000,,4462.00000,,4462.00000
