"Election for","Doon Valley"
"Date","27 May 2020"
"Number to be elected",3
"Valid votes",3807
"Invalid votes",0
"Quota",952.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Mark MITCHELL (Libtn)",,"Craig MURRAY (Grn)",,"John YOUNG (Ind)",,"Anne FAIRLIE (SNP)",,"Elaine STEWART (Lab)",,"Elaine DINWOODIE (Lab)",,"John BELL (SNP)",,"Alison HARPER (C)",
"John BELL (SNP)",583,,583.00000,+9.00000,592.00000,+10.00000,602.00000,+333.00000,935.00000,+15.00000,950.00000,+22.76586,972.76586,-20.76586,952.00000,,952.00000,"Elected"
"Elaine DINWOODIE (Lab)",801,,801.00000,+6.00000,807.00000,+21.00000,828.00000,+20.00000,848.00000,+334.00000,1182.00000,-230.00000,952.00000,,952.00000,,952.00000,"Elected"
"Anne FAIRLIE (SNP)",375,,375.00000,+15.00000,390.00000,+9.00000,399.00000,-399.00000,"-",,"-",,"-",,"-",,"-",
"Drew FILSON (Ind)",590,,590.00000,+6.00000,596.00000,+89.00000,685.00000,+8.00000,693.00000,+84.00000,777.00000,+61.48728,838.48728,+6.50042,844.98770,+221.87860,1066.86630,"Elected"
"Alison HARPER (C)",698,+1.00000,699.00000,+2.00000,701.00000,+17.00000,718.00000,+3.00000,721.00000,+16.00000,737.00000,+19.84716,756.84716,+0.74157,757.58873,-757.58873,"-",
"Mark MITCHELL (Libtn)",4,-4.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Craig MURRAY (Grn)",53,+1.00000,54.00000,-54.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Elaine STEWART (Lab)",496,,496.00000,+6.00000,502.00000,+20.00000,522.00000,+4.00000,526.00000,-526.00000,"-",,"-",,"-",,"-",
"John YOUNG (Ind)",207,+1.00000,208.00000,+5.00000,213.00000,-213.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+1.00000,1.00000,+5.00000,6.00000,+47.00000,53.00000,+31.00000,84.00000,+77.00000,161.00000,+125.89970,286.89970,+13.52387,300.42357,+535.71013,836.13370,
"Totals",3807,,3807.00000,,3807.00000,,3807.00000,,3807.00000,,3807.00000,,3807.00000,,3807.00000,,3807.00000
