"Election for","Lenzie and Kirkintilloch South"
"Date","03 Jun 2020"
"Number to be elected",3
"Valid votes",6656
"Invalid votes",0
"Quota",1665.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Carolynn SCRIMGEOUR (Grn)",,"Alisdair SINCLAIR (Ind)",,"Sandra THORNTON (C)",,"Martin ROBERTSON (SNP)",,"Gillian RENWICK (SNP)",,"Rhondda GEEKIE (Lab)",,"Sandy TAYLOR (Ind)",
"Rod ACKLAND (LD)",805,+42.00000,847.00000,+49.00000,896.00000,+17.92116,913.92116,+14.00000,927.92116,+61.05258,988.97374,+353.00020,1341.97394,+482.80387,1824.77781,"Elected"
"Rhondda GEEKIE (Lab)",728,+30.00000,758.00000,+19.00000,777.00000,+5.52792,782.52792,+14.02972,796.55764,+62.87011,859.42775,-859.42775,"-",,"-",
"Gillian RENWICK (SNP)",1499,+77.00000,1576.00000,+35.00000,1611.00000,+1.15908,1612.15908,+481.26748,2093.42656,-428.42656,1665.00000,,1665.00000,,1665.00000,"Elected"
"Martin ROBERTSON (SNP)",505,+38.00000,543.00000,+9.00000,552.00000,+0.41608,552.41608,-552.41608,"-",,"-",,"-",,"-",
"Carolynn SCRIMGEOUR (Grn)",259,-259.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Alisdair SINCLAIR (Ind)",415,+16.00000,431.00000,-431.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Sandy TAYLOR (Ind)",811,+30.00000,841.00000,+196.00000,1037.00000,+11.94744,1048.94744,+21.02972,1069.97716,+109.71672,1179.69388,+118.04410,1297.73798,-1297.73798,"-",
"Sandra THORNTON (C)",1634,+7.00000,1641.00000,+75.00000,1716.00000,-51.00000,1665.00000,,1665.00000,,1665.00000,,1665.00000,,1665.00000,"Elected"
"Non-transferable", ,+19.00000,19.00000,+48.00000,67.00000,+14.02832,81.02832,+22.08916,103.11748,+194.78715,297.90463,+388.38345,686.28808,+814.93411,1501.22219,
"Totals",6656,,6656.00000,,6656.00000,,6656.00000,,6656.00000,,6656.00000,,6656.00000,,6656.00000
