"Election for","Tranent, Wallyford and Macmerry"
"Date","06 Jun 2020"
"Number to be elected",4
"Valid votes",6279
"Invalid votes",0
"Quota",1256.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Kenny MCLEOD (SNP)",,"Fiona DUGDALE (Lab)",,"Jimmy HADDOW (TUSC)",,"Alexander John GRAHAM (LD)",,"Linda WATSON (SNP)",,"Jim GILLIES (Lab)",
"Fiona DUGDALE (Lab)",1272,,1272.00000,-16.00000,1256.00000,,1256.00000,,1256.00000,,1256.00000,,1256.00000,"Elected"
"Jim GILLIES (Lab)",837,+6.63876,843.63876,+10.24455,853.88331,+10.25983,864.14314,+32.48195,896.62509,+117.44864,1014.07373,-1014.07373,"-",
"Alexander John GRAHAM (LD)",159,+2.76615,161.76615,+0.30168,162.06783,+14.00000,176.06783,-176.06783,"-",,"-",,"-",
"Jimmy HADDOW (TUSC)",63,+1.29087,64.29087,+0.23883,64.52970,-64.52970,"-",,"-",,"-",,"-",
"Gordon MACKETT (C)",986,+1.47528,987.47528,+0.33939,987.81467,+7.01257,994.82724,+59.59094,1054.41818,+35.07717,1089.49535,+52.23124,1141.72659,"Elected"
"Colin Peter MCGINN (Lab)",958,+10.51137,968.51137,+3.89670,972.40807,+6.06285,978.47092,+21.05028,999.52120,+102.48551,1102.00671,+790.94007,1892.94678,"Elected"
"Kenny MCLEOD (SNP)",1540,-284.00000,1256.00000,,1256.00000,,1256.00000,,1256.00000,,1256.00000,,1256.00000,"Elected"
"Linda WATSON (SNP)",464,+249.13791,713.13791,+0.18855,713.32646,+11.38139,724.70785,+21.57837,746.28622,-746.28622,"-",,"-",
"Non-transferable", ,+12.17966,12.17966,+0.79030,12.96996,+15.81306,28.78302,+41.36629,70.14931,+491.27490,561.42421,+170.90242,732.32663,
"Totals",6279,,6279.00000,,6279.00000,,6279.00000,,6279.00000,,6279.00000,,6279.00000
