"Election for","Barrhead, Liboside and Uplawmoor"
"Date","08 Jun 2020"
"Number to be elected",4
"Valid votes",7073
"Invalid votes",0
"Quota",1415.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Danny DEVLIN (Ind)",,"John J FERGUSON (UKIP)",,"David ALLISON (Grn)",,"Kenny HAY (Lab)",,"Betty Wood CUNNINGHAM (Lab)",,"Paul AITKEN (C)",,"Tommy REILLY (SNP)",
"Paul AITKEN (C)",1297,+58.89735,1355.89735,+16.38582,1372.28317,+18.07873,1390.36190,+21.77164,1412.13354,+14.37666,1426.51020,-11.51020,1415.00000,,1415.00000,"Elected"
"David ALLISON (Grn)",220,+23.78991,243.78991,+5.38582,249.17573,-249.17573,"-",,"-",,"-",,"-",,"-",
"Angela CONVERY (SNP)",1199,+42.96042,1241.96042,,1241.96042,+88.23358,1330.19400,+16.46455,1346.65855,+10.51110,1357.16965,+0.92379,1358.09344,+1012.42478,2370.51822,"Elected"
"Betty Wood CUNNINGHAM (Lab)",1020,+90.54024,1110.54024,+2.92388,1113.46412,+46.38843,1159.85255,+346.33580,1506.18835,-91.18835,1415.00000,,1415.00000,,1415.00000,"Elected"
"Danny DEVLIN (Ind)",1840,-425.00000,1415.00000,,1415.00000,,1415.00000,,1415.00000,,1415.00000,,1415.00000,,1415.00000,"Elected"
"John J FERGUSON (UKIP)",34,+8.54589,42.54589,-42.54589,"-",,"-",,"-",,"-",,"-",,"-",
"Kenny HAY (Lab)",404,+58.89735,462.89735,+2.38582,465.28317,+16.15746,481.44063,-481.44063,"-",,"-",,"-",,"-",
"Tommy REILLY (SNP)",1059,+66.05742,1125.05742,+1.23097,1126.28839,+40.77164,1167.06003,+37.54589,1204.60592,+13.51986,1218.12578,+0.45057,1218.57635,-1218.57635,"-",
"Non-transferable", ,+75.31142,75.31142,+14.23358,89.54500,+39.54589,129.09089,+59.32275,188.41364,+52.78073,241.19437,+10.13584,251.33021,+206.15157,457.48178,
"Totals",7073,,7073.00000,,7073.00000,,7073.00000,,7073.00000,,7073.00000,,7073.00000,,7073.00000
