"Election for","Clarkston, Netherlee and Williamwood"
"Date","08 Jun 2020"
"Number to be elected",4
"Valid votes",10203
"Invalid votes",0
"Quota",2041.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Sarah Louise HEMY (UKIP)",,"Alex MACKIE (LD)",,"Laura STEVENS (Grn)",,"Mary MONTAGUE (Lab)",,"James MILLS (SNP)",,"Annette IRELAND (SNP)",,"Ralph ROBERTSON (Ind)",,"David MACDONALD (Ind)",,"Andrea GEE (C)",
"Andrea GEE (C)",1580,+5.00000,1585.00000,+13.00000,1598.00000,+6.00000,1604.00000,+20.00000,1624.00000,+4.00000,1628.00000,+6.43194,1634.43194,+132.14958,1766.58152,+16.91442,1783.49594,-1783.49594,"-",
"Sarah Louise HEMY (UKIP)",20,-20.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Annette IRELAND (SNP)",1508,+1.00000,1509.00000,+12.00000,1521.00000,+113.00000,1634.00000,+37.00000,1671.00000,+729.00000,2400.00000,-359.00000,2041.00000,,2041.00000,,2041.00000,,2041.00000,"Elected"
"Alan LAFFERTY (Lab)",986,+3.00000,989.00000,+29.00000,1018.00000,+30.00000,1048.00000,+488.00000,1536.00000,+37.00000,1573.00000,+78.08076,1651.08076,+140.08572,1791.16648,+37.35986,1828.52634,+120.34176,1948.86810,"Elected"
"David MACDONALD (Ind)",1352,+2.00000,1354.00000,+37.00000,1391.00000,+48.00000,1439.00000,+66.00000,1505.00000,+66.00000,1571.00000,+88.10262,1659.10262,+530.02692,2189.12954,-148.12954,2041.00000,,2041.00000,"Elected"
"Alex MACKIE (LD)",195,,195.00000,-195.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Stewart MILLER (C)",1715,+4.00000,1719.00000,+15.00000,1734.00000,+4.00000,1738.00000,+24.00000,1762.00000,+10.00000,1772.00000,+5.08572,1777.08572,+137.74790,1914.83362,+21.39010,1936.22372,+1391.73754,3327.96126,"Elected"
"James MILLS (SNP)",809,+1.00000,810.00000,+3.00000,813.00000,+70.00000,883.00000,+25.00000,908.00000,-908.00000,"-",,"-",,"-",,"-",,"-",
"Mary MONTAGUE (Lab)",692,,692.00000,+25.00000,717.00000,+44.00000,761.00000,-761.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Ralph ROBERTSON (Ind)",995,,995.00000,+17.00000,1012.00000,+32.00000,1044.00000,+66.00000,1110.00000,+16.00000,1126.00000,+48.61350,1174.61350,-1174.61350,"-",,"-",,"-",
"Laura STEVENS (Grn)",351,+1.00000,352.00000,+26.00000,378.00000,-378.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+3.00000,3.00000,+18.00000,21.00000,+31.00000,52.00000,+35.00000,87.00000,+46.00000,133.00000,+132.68546,265.68546,+234.60338,500.28884,+72.46516,572.75400,+271.41664,844.17064,
"Totals",10203,,10203.00000,,10203.00000,,10203.00000,,10203.00000,,10203.00000,,10203.00000,,10203.00000,,10203.00000,,10203.00000
