"Election for","Newton Mearns South and Eaglesham"
"Date","08 Jun 2020"
"Number to be elected",4
"Valid votes",9773
"Invalid votes",0
"Quota",1955.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Jim SWIFT (C)",,"Barbara GRANT (C)",,"Gerry MCVEIGH (UKIP)",,"Alan RENNIE (LD)",
"Caroline BAMFORTH (SNP)",1907,+12.90080,1919.90080,+2.85359,1922.75439,+3.00000,1925.75439,+56.52695,1982.28134,"Elected"
"Bev BROWN (Ind)",511,+34.01120,545.01120,+7.33573,552.34693,+9.41125,561.75818,+57.81545,619.57363,
"Barbara GRANT (C)",1798,+418.68960,2216.68960,-261.68960,1955.00000,,1955.00000,,1955.00000,"Elected"
"Ian MCALPINE (Lab)",1009,+19.35120,1028.35120,+8.53850,1036.88970,+6.11805,1043.00775,+96.26751,1139.27526,
"Jim MCLEAN (C)",1437,+269.45080,1706.45080,+217.95047,1924.40127,+11.61866,1936.01993,+51.20718,1987.22711,"Elected"
"Gerry MCVEIGH (UKIP)",37,+2.93200,39.93200,+1.47160,41.40360,-41.40360,"-",,"-",
"Alan RENNIE (LD)",308,+16.71240,324.71240,+7.11573,331.82813,+1.00000,332.82813,-332.82813,"-",
"Jim SWIFT (C)",2766,-811.00000,1955.00000,,1955.00000,,1955.00000,,1955.00000,"Elected"
"Non-transferable", ,+36.95200,36.95200,+16.42398,53.37598,+10.25564,63.63162,+71.01104,134.64266,
"Totals",9773,,9773.00000,,9773.00000,,9773.00000,,9773.00000
