"Election for","Ward 5 - Inverleith"
"Date","16 Feb 2019"
"Number to be elected",4
"Valid votes",13567
"Invalid votes",0
"Quota",2714.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Tom LAIRD (Libtn)",,"Tina WOOLNOUGH (Ind)",,"James DALGLEISH (Lab)",,"Hal OSLER (LD)",,"Max MITCHELL (C)",,"Gavin BARRIE (SNP)",,"Nigel BAGSHAW (Grn)",
"Nigel BAGSHAW (Grn)",1669,+5.00000,1674.00000,+74.00000,1748.00000,+434.00000,2182.00000,+62.55685,2244.55685,+3.46008,2248.01693,+68.41350,2316.43043,-2316.43043,"-",
"Gavin BARRIE (SNP)",2572,+4.00000,2576.00000,+35.00000,2611.00000,+200.00000,2811.00000,,2811.00000,,2811.00000,-97.00000,2714.00000,,2714.00000,"Elected"
"James DALGLEISH (Lab)",1678,+3.00000,1681.00000,+23.00000,1704.00000,-1704.00000,"-",,"-",,"-",,"-",,"-",
"Tom LAIRD (Libtn)",32,-32.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Max MITCHELL (C)",2685,+6.00000,2691.00000,+16.00000,2707.00000,+133.00000,2840.00000,,2840.00000,-126.00000,2714.00000,,2714.00000,,2714.00000,"Elected"
"Hal OSLER (LD)",2251,+2.00000,2253.00000,+135.00000,2388.00000,+482.00000,2870.00000,-156.00000,2714.00000,,2714.00000,,2714.00000,,2714.00000,"Elected"
"Iain WHYTE (C)",2323,+2.00000,2325.00000,+46.00000,2371.00000,+40.00000,2411.00000,+48.09975,2459.09975,+112.14208,2571.24183,+2.65650,2573.89833,+529.38106,3103.27939,"Elected"
"Tina WOOLNOUGH (Ind)",357,+5.00000,362.00000,-362.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+5.00000,5.00000,+33.00000,38.00000,+415.00000,453.00000,+45.34340,498.34340,+10.39784,508.74124,+25.93000,534.67124,+1787.04937,2321.72061,
"Totals",13567,,13567.00000,,13567.00000,,13567.00000,,13567.00000,,13567.00000,,13567.00000,,13567.00000
