"Election for","Ward 7 - Sighthill/Gorgie"
"Date","16 Feb 2019"
"Number to be elected",4
"Valid votes",8493
"Invalid votes",0
"Quota",1699.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Calum STRANGE (Libtn)",,"Devin Scott SCOBIE (LD)",,"Simon HAYTER (SNP)",,"Catherine FULLERTON (SNP)",,"Ashley GRACZYK (C)",,"Carmel SMITH (Lab)",,"Donald WILSON (Lab)",,"Dan HEAP (Grn)",
"Denis DIXON (SNP)",1190,+1.00000,1191.00000,+13.00000,1204.00000,+248.00000,1452.00000,+144.74460,1596.74460,+0.04797,1596.79257,+25.00334,1621.79591,+12.55415,1634.35006,+757.26164,2391.61170,"Elected"
"Catherine FULLERTON (SNP)",1574,+1.00000,1575.00000,+7.00000,1582.00000,+306.00000,1888.00000,-189.00000,1699.00000,,1699.00000,,1699.00000,,1699.00000,,1699.00000,"Elected"
"Ashley GRACZYK (C)",1621,+4.00000,1625.00000,+69.00000,1694.00000,+7.00000,1701.00000,,1701.00000,-2.00000,1699.00000,,1699.00000,,1699.00000,,1699.00000,"Elected"
"Simon HAYTER (SNP)",648,,648.00000,+5.00000,653.00000,-653.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Dan HEAP (Grn)",1264,+5.00000,1269.00000,+87.00000,1356.00000,+49.00000,1405.00000,+16.31630,1421.31630,+0.23751,1421.55381,+49.81250,1471.36631,+30.15466,1501.52097,-1501.52097,"-",
"Devin Scott SCOBIE (LD)",332,+6.00000,338.00000,-338.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Carmel SMITH (Lab)",844,+1.00000,845.00000,+57.00000,902.00000,+7.00000,909.00000,+5.00500,914.00500,+0.46683,914.47183,-914.47183,"-",,"-",,"-",
"Calum STRANGE (Libtn)",27,-27.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Donald WILSON (Lab)",993,+2.00000,995.00000,+53.00000,1048.00000,+15.00000,1063.00000,+8.40840,1071.40840,+0.32058,1071.72898,+750.24722,1821.97620,-122.97620,1699.00000,,1699.00000,"Elected"
"Non-transferable", ,+7.00000,7.00000,+47.00000,54.00000,+21.00000,75.00000,+14.52570,89.52570,+0.92711,90.45281,+89.40877,179.86158,+80.26739,260.12897,+744.25933,1004.38830,
"Totals",8493,,8493.00000,,8493.00000,,8493.00000,,8493.00000,,8493.00000,,8493.00000,,8493.00000,,8493.00000
