"Election for","Ward 12 - Leith Walk"
"Date","15 Mar 2020"
"Number to be elected",4
"Valid votes",10649
"Invalid votes",0
"Quota",2130.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alan Gordon MELVILLE (Ind)",,"David Don JACOBSEN (SocLab)",,"Vita ZAPOROZCENKO (LD)",,"Susan RAE (Grn)",,"Harald TOBERMANN (Ind)",,"Nick GARDNER (Lab)",,"Marion DONALDSON (Lab)",,"Cristina MARGA (C)",
"Marion DONALDSON (Lab)",1602,+3.00000,1605.00000,+12.00000,1617.00000,+75.00000,1692.00000,+23.96096,1715.96096,+105.60084,1821.56180,+708.22960,2529.79140,-399.79140,2130.00000,,2130.00000,"Elected"
"Nick GARDNER (Lab)",793,+2.00000,795.00000,+8.00000,803.00000,+36.00000,839.00000,+10.27636,849.27636,+63.39428,912.67064,-912.67064,"-",,"-",,"-",
"David Don JACOBSEN (SocLab)",66,+1.00000,67.00000,-67.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Cristina MARGA (C)",1536,+5.00000,1541.00000,+3.00000,1544.00000,+56.00000,1600.00000,+2.63364,1602.63364,+80.56804,1683.20168,+36.10328,1719.30496,+65.15433,1784.45929,-1784.45929,"-",
"Amy MCNEESE-MECHAN (SNP)",1770,+2.00000,1772.00000,+5.00000,1777.00000,+11.00000,1788.00000,+29.53808,1817.53808,+53.37544,1870.91352,+41.98116,1912.89468,+58.50648,1971.40116,+136.25726,2107.65842,"Elected"
"Alan Gordon MELVILLE (Ind)",55,-55.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Susan RAE (Grn)",2097,+8.00000,2105.00000,+20.00000,2125.00000,+121.00000,2246.00000,-116.00000,2130.00000,,2130.00000,,2130.00000,,2130.00000,,2130.00000,"Elected"
"Lewis RITCHIE (SNP)",1900,+1.00000,1901.00000,+2.00000,1903.00000,+20.00000,1923.00000,+26.38804,1949.38804,+102.85904,2052.24708,+38.18772,2090.43480,+35.55513,2125.98993,+83.38294,2209.37287,"Elected"
"Harald TOBERMANN (Ind)",432,+27.00000,459.00000,+4.00000,463.00000,+48.00000,511.00000,+11.56736,522.56736,-522.56736,"-",,"-",,"-",,"-",
"Vita ZAPOROZCENKO (LD)",398,+2.00000,400.00000,+3.00000,403.00000,-403.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+4.00000,4.00000,+10.00000,14.00000,+36.00000,50.00000,+11.63556,61.63556,+116.76972,178.40528,+88.16888,266.57416,+240.57546,507.14962,+1564.81909,2071.96871,
"Totals",10649,,10649.00000,,10649.00000,,10649.00000,,10649.00000,,10649.00000,,10649.00000,,10649.00000,,10649.00000
