"Election for","Ward 14 - Craigentinny-Duddingston"
"Date","15 Mar 2020"
"Number to be elected",4
"Valid votes",10630
"Invalid votes",0
"Quota",2127.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","John MCLELLAN (C)",,"Ian CAMPBELL (SNP)",,"Patrick HADFIELD (LD)",,"Mridul WADHWA (SNP)",,"Lyndsay MARTIN (Lab)",,"Joan GRIFFITHS (Lab)",,"Alex LUNN (SNP)",
"Ian CAMPBELL (SNP)",2458,,2458.00000,-331.00000,2127.00000,,2127.00000,,2127.00000,,2127.00000,,2127.00000,,2127.00000,"Elected"
"Joan GRIFFITHS (Lab)",1845,+65.16876,1910.16876,+18.71774,1928.88650,+166.56602,2095.45252,+28.79382,2124.24634,+603.13884,2727.38518,-600.38518,2127.00000,,2127.00000,"Elected"
"Patrick HADFIELD (LD)",448,+100.64432,548.64432,+6.32902,554.97334,-554.97334,"-",,"-",,"-",,"-",,"-",
"Alex LUNN (SNP)",813,+6.40748,819.40748,+229.99928,1049.40676,+26.84454,1076.25130,+526.33508,1602.58638,+12.90192,1615.48830,+60.29342,1675.78172,-1675.78172,"-",
"Lyndsay MARTIN (Lab)",627,+33.60020,660.60020,+4.98242,665.58262,+74.91640,740.49902,+6.71654,747.21556,-747.21556,"-",,"-",,"-",
"John MCLELLAN (C)",2521,-394.00000,2127.00000,,2127.00000,,2127.00000,,2127.00000,,2127.00000,,2127.00000,,2127.00000,"Elected"
"Alex STANIFORTH (Grn)",1244,+22.81688,1266.81688,+19.79502,1286.61190,+140.67206,1427.28396,+151.98990,1579.27386,+44.31338,1623.58724,+162.23409,1785.82133,+870.62781,2656.44914,"Elected"
"Mridul WADHWA (SNP)",674,+2.81304,676.81304,+39.99402,716.80706,+14.54612,731.35318,-731.35318,"-",,"-",,"-",,"-",
"Non-transferable", ,+162.54932,162.54932,+11.18250,173.73182,+131.42820,305.16002,+17.51784,322.67786,+86.86142,409.53928,+377.85767,787.39695,+805.15391,1592.55086,
"Totals",10630,,10630.00000,,10630.00000,,10630.00000,,10630.00000,,10630.00000,,10630.00000,,10630.00000
