"Election for","Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas"
"Date","20 Jun 2020"
"Number to be elected",4
"Valid votes",1387
"Invalid votes",0
"Quota",278.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Donald MANFORD (SNP)",,"Calum MACMILLAN (SNP)",,"Gerry MACLEOD (Ind)",,"Ronald Joseph MACKINNON (Ind)",,"Donnie STEELE (Ind)",,"Iain Archie MACNEIL (Ind)",,"David BLANEY (Ind)",
"David BLANEY (Ind)",112,+9.05255,121.05255,+0.00636,121.05891,+8.00000,129.05891,+26.43175,155.49066,+19.76529,175.25595,+2.35280,177.60875,-177.60875,"-",
"Ronald Joseph MACKINNON (Ind)",89,+12.86415,101.86415,+0.00664,101.87079,+7.47711,109.34790,-109.34790,"-",,"-",,"-",,"-",
"Gerry MACLEOD (Ind)",29,+1.90580,30.90580,+0.00489,30.91069,-30.91069,"-",,"-",,"-",,"-",,"-",
"Calum MACMILLAN (SNP)",138,+140.07630,278.07630,-0.07630,278.00000,,278.00000,,278.00000,,278.00000,,278.00000,,278.00000,"Elected"
"Iain Archie MACNEIL (Ind)",217,+23.82250,240.82250,+0.01481,240.83731,+5.47815,246.31546,+17.81213,264.12759,+26.86056,290.98815,-12.98815,278.00000,,278.00000,"Elected"
"Donald MANFORD (SNP)",531,-253.00000,278.00000,,278.00000,,278.00000,,278.00000,,278.00000,,278.00000,,278.00000,"Elected"
"Donnie STEELE (Ind)",110,+19.53445,129.53445,+0.00964,129.54409,+3.00121,132.54530,+22.85936,155.40466,-155.40466,"-",,"-",,"-",
"Paul Francis STEELE (Ind)",161,+9.05255,170.05255,+0.00751,170.06006,+2.00027,172.06033,+20.00080,192.06113,+61.76769,253.82882,+5.12417,258.95299,+65.52054,324.47353,"Elected"
"Non-transferable", ,+36.69170,36.69170,+0.02645,36.71815,+4.95395,41.67210,+22.24386,63.91596,+47.01112,110.92708,+5.51118,116.43826,+112.08821,228.52647,
"Totals",1387,,1387.00000,,1387.00000,,1387.00000,,1387.00000,,1387.00000,,1387.00000,,1387.00000
