"Election for","Beinn na Foghla agus Uibhist a Tuath"
"Date","20 Jun 2020"
"Number to be elected",3
"Valid votes",1234
"Invalid votes",0
"Quota",309.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Uisdean ROBERTSON (Ind)",,"Ken MACBRAYNE (C)",,"John MACLEOD (Ind)",,"Neil Macdonald BEATON (Ind)",,"Andrew WALKER (Ind)",,"Iain Murdoch MACLEOD (Ind)",,"Roslyn MACPHERSON (SNP)",
"Neil Macdonald BEATON (Ind)",71,+8.42205,79.42205,+10.00000,89.42205,+8.51828,97.94033,-97.94033,"-",,"-",,"-",,"-",
"Ken MACBRAYNE (C)",51,+0.64785,51.64785,-51.64785,"-",,"-",,"-",,"-",,"-",,"-",
"Roddy MACKAY (Ind)",197,+5.44194,202.44194,+7.00000,209.44194,+6.12957,215.57151,+20.90699,236.47850,+25.23925,261.71775,+2.89828,264.61603,+77.79683,342.41286,"Elected"
"Iain Murdoch MACLEOD (Ind)",237,+5.96022,242.96022,+4.25914,247.21936,+13.90699,261.12635,+13.90699,275.03334,+43.62796,318.66130,-9.66130,309.00000,,309.00000,"Elected"
"John MACLEOD (Ind)",65,+2.72097,67.72097,+7.00000,74.72097,-74.72097,"-",,"-",,"-",,"-",,"-",
"Roslyn MACPHERSON (SNP)",156,+3.75753,159.75753,+3.00000,162.75753,+8.12957,170.88710,+13.29570,184.18280,+20.81398,204.99678,+1.00128,205.99806,-205.99806,"-",
"Uisdean ROBERTSON (Ind)",355,-46.00000,309.00000,,309.00000,,309.00000,,309.00000,,309.00000,,309.00000,,309.00000,"Elected"
"Andrew WALKER (Ind)",102,+13.21614,115.21614,+11.38871,126.60485,+12.64785,139.25270,+22.10968,161.36238,-161.36238,"-",,"-",,"-",
"Non-transferable", ,+5.83330,5.83330,+9.00000,14.83330,+25.38871,40.22201,+27.72097,67.94298,+71.68119,139.62417,+5.76174,145.38591,+128.20123,273.58714,
"Totals",1234,,1234.00000,,1234.00000,,1234.00000,,1234.00000,,1234.00000,,1234.00000,,1234.00000
