"Election for","Na Hearadh agus Ceann a Deas nan Loch"
"Date","20 Jun 2020"
"Number to be elected",3
"Valid votes",1148
"Invalid votes",0
"Quota",288.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Finlay CUNNINGHAM (Ind)",,"Alex Dan SMITH (Ind)",,"DJ MACRAE (Ind)",,"Fiona MACLEOD (SNP)",,"Denise WILSON (Ind)",,"Sheena MACLEOD (Ind)",,"Catherine MACDONALD (Ind)",
"Finlay CUNNINGHAM (Ind)",381,-93.00000,288.00000,,288.00000,,288.00000,,288.00000,,288.00000,,288.00000,,288.00000,"Elected"
"Paul Anthony FINNEGAN (Ind)",189,+25.87354,214.87354,+1.00000,215.87354,+4.00000,219.87354,+4.24409,224.11763,+15.00000,239.11763,+22.41726,261.53489,+97.83452,359.36941,"Elected"
"Catherine MACDONALD (Ind)",166,+21.72401,187.72401,,187.72401,+4.24409,191.96810,+3.48818,195.45628,+4.22045,199.67673,+18.68499,218.36172,-218.36172,"-",
"Fiona MACLEOD (SNP)",47,+3.90544,50.90544,+1.00000,51.90544,+4.00000,55.90544,-55.90544,"-",,"-",,"-",,"-",
"Sheena MACLEOD (Ind)",80,+11.47223,91.47223,+0.24409,91.71632,+4.00000,95.71632,+3.24409,98.96041,+27.24409,126.20450,-126.20450,"-",,"-",
"DJ MACRAE (Ind)",42,+1.22045,43.22045,+2.00000,45.22045,-45.22045,"-",,"-",,"-",,"-",,"-",
"John Graham MITCHELL (SNP)",172,+7.81088,179.81088,,179.81088,+2.00000,181.81088,+38.46454,220.27542,+8.48818,228.76360,+7.24409,236.00769,+42.44090,278.44859,"Elected"
"Alex Dan SMITH (Ind)",7,+0.73227,7.73227,-7.73227,"-",,"-",,"-",,"-",,"-",,"-",
"Denise WILSON (Ind)",64,+2.68499,66.68499,+3.48818,70.17317,+2.24409,72.41726,+1.00000,73.41726,-73.41726,"-",,"-",,"-",
"Non-transferable", ,+17.57619,17.57619,,17.57619,+24.73227,42.30846,+5.46454,47.77300,+18.46454,66.23754,+77.85816,144.09570,+78.08630,222.18200,
"Totals",1148,,1148.00000,,1148.00000,,1148.00000,,1148.00000,,1148.00000,,1148.00000,,1148.00000
