"Election for","Ward 3 - Denny and Banknock"
"Date","13 May 2020"
"Number to be elected",4
"Valid votes",6321
"Invalid votes",0
"Quota",1265.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Paul GARNER (SNP)",,"Sean MELLON (Sol)",,"Cheryl BRIND (Grn)",,"Anne MONTGOMERY (Ind)",,"Fiona Elizabeth COLLIE (SNP)",,"Khalid HAMID (Lab)",,"Alexander John WADDELL (Ind)",,"Jim BLACKWOOD (Lab)",,"Brian MCCABE (Ind)",
"Jim BLACKWOOD (Lab)",965,+11.26966,976.26966,+0.23978,976.50944,+20.23978,996.74922,+22.47956,1019.22878,+1.33866,1020.56744,+213.21703,1233.78447,+125.82926,1359.61373,-94.61373,1265.00000,,1265.00000,"Elected"
"Cheryl BRIND (Grn)",119,+3.83648,122.83648,+2.23978,125.07626,-125.07626,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Fiona Elizabeth COLLIE (SNP)",884,+316.26982,1200.26982,+10.71934,1210.98916,+44.15802,1255.14718,+18.95912,1274.10630,-9.10630,1265.00000,,1265.00000,,1265.00000,,1265.00000,,1265.00000,"Elected"
"Paul GARNER (SNP)",1664,-399.00000,1265.00000,,1265.00000,,1265.00000,,1265.00000,,1265.00000,,1265.00000,,1265.00000,,1265.00000,,1265.00000,"Elected"
"Khalid HAMID (Lab)",314,+8.87186,322.87186,+0.23978,323.11164,+10.23978,333.35142,+22.47956,355.83098,+0.68205,356.51303,-356.51303,"-",,"-",,"-",,"-",
"Nigel HARRIS (C)",916,+2.15802,918.15802,,918.15802,+6.00000,924.15802,+26.00000,950.15802,+0.23643,950.39445,+14.03198,964.42643,+104.48640,1068.91283,+17.54494,1086.45777,+228.13605,1314.59382,"Elected"
"Brian MCCABE (Ind)",687,+32.13052,719.13052,+3.71934,722.84986,+14.71934,737.56920,+43.00000,780.56920,+1.88280,782.45200,+29.44205,811.89405,+173.02220,984.91625,+18.05478,1002.97103,-1002.97103,"-",
"Sean MELLON (Sol)",19,+2.63758,21.63758,-21.63758,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Anne MONTGOMERY (Ind)",231,+1.91824,232.91824,+2.23978,235.15802,+12.23978,247.39780,-247.39780,"-",,"-",,"-",,"-",,"-",,"-",
"Alexander John WADDELL (Ind)",522,+6.47406,528.47406,+1.00000,529.47406,+8.23978,537.71384,+78.23978,615.95362,+0.74109,616.69471,+24.27548,640.97019,-640.97019,"-",,"-",,"-",
"Non-transferable", ,+13.43376,13.43376,+1.23978,14.67354,+9.23978,23.91332,+36.23978,60.15310,+4.22527,64.37837,+75.54649,139.92486,+237.63233,377.55719,+59.01401,436.57120,+774.83498,1211.40618,
"Totals",6321,,6321.00000,,6321.00000,,6321.00000,,6321.00000,,6321.00000,,6321.00000,,6321.00000,,6321.00000,,6321.00000
