"Election for","Ward 1 - West Fife & Coastal Villages"
"Date","24 Apr 2020"
"Number to be elected",3
"Valid votes",6211
"Invalid votes",0
"Quota",1553.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Bobby CLELLAND (Lab)",,"Jeroen VAN LEEUWEN (Grn)",,"Martin KEATINGS (Ind)",,"Aude BOUBAKER-CALDER (LD)",,"Suzanne DAVIES (Lab)",,"Willie GAVIN (SNP)",
"Aude BOUBAKER-CALDER (LD)",360,+3.45105,363.45105,+19.00000,382.45105,+55.53683,437.98788,-437.98788,"-",,"-",,"-",
"Bobby CLELLAND (Lab)",1682,-129.00000,1553.00000,,1553.00000,,1553.00000,,1553.00000,,1553.00000,,1553.00000,"Elected"
"Suzanne DAVIES (Lab)",538,+97.08954,635.08954,+19.46014,654.54968,+36.92028,691.46996,+124.68718,816.15714,-816.15714,"-",,"-",
"Willie GAVIN (SNP)",990,+4.21795,994.21795,+24.15338,1018.37133,+13.23007,1031.60140,+36.00000,1067.60140,+71.36224,1138.96364,-1138.96364,"-",
"Martin KEATINGS (Ind)",220,+2.60746,222.60746,+23.30676,245.91422,-245.91422,"-",,"-",,"-",,"-",
"Mino MANEKSHAW (C)",1186,+4.44802,1190.44802,+7.00000,1197.44802,+56.07669,1253.52471,+128.92028,1382.44499,+160.10793,1542.55292,+32.99697,1575.54989,"Elected"
"Kate STEWART (SNP)",1084,+7.05548,1091.05548,+47.07669,1138.13217,+35.15338,1173.28555,+30.07669,1203.36224,+68.36224,1271.72448,+978.13823,2249.86271,"Elected"
"Jeroen VAN LEEUWEN (Grn)",151,+1.30373,152.30373,-152.30373,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+8.82677,8.82677,+12.30676,21.13353,+48.99697,70.13050,+118.30373,188.43423,+516.32473,704.75896,+127.82844,832.58740,
"Totals",6211,,6211.00000,,6211.00000,,6211.00000,,6211.00000,,6211.00000,,6211.00000
