"Election for","Ward 3 - Dunfermline Central"
"Date","24 Apr 2020"
"Number to be elected",4
"Valid votes",7324
"Invalid votes",0
"Quota",1465.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alan CRAIG (C)",,"Deek JACKSON (Ind)",,"Kerstin ROMANO (Grn)",,"Lauren JONES (LD)",,"Doug HAY (Ind)",,"Jim LEISHMAN (Lab)",,"Jean HALL MUIR (SNP)",,"Neale HANVEY (SNP)",
"Alan CRAIG (C)",1768,-303.00000,1465.00000,,1465.00000,,1465.00000,,1465.00000,,1465.00000,,1465.00000,,1465.00000,,1465.00000,"Elected"
"Garry HALDANE (Lab)",832,+39.93154,871.93154,+1.00000,872.93154,+17.19966,890.13120,+87.19626,977.32746,+89.71210,1067.03956,+114.68912,1181.72868,+0.93961,1182.66829,+315.70378,1498.37207,"Elected"
"Jean HALL MUIR (SNP)",1359,+4.28450,1363.28450,+1.00000,1364.28450,+47.00000,1411.28450,+45.85690,1457.14140,+59.00000,1516.14140,,1516.14140,-51.14140,1465.00000,,1465.00000,"Elected"
"Neale HANVEY (SNP)",821,+1.37104,822.37104,+1.00000,823.37104,+44.34276,867.71380,+22.85690,890.57070,+70.34276,960.91346,+11.88555,972.79901,+47.56793,1020.36694,-1020.36694,"-",
"Doug HAY (Ind)",655,+61.69680,716.69680,+13.74208,730.43888,+26.19966,756.63854,+131.99660,888.63514,-888.63514,"-",,"-",,"-",,"-",
"Deek JACKSON (Ind)",27,+4.45588,31.45588,-31.45588,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Lauren JONES (LD)",509,+74.03616,583.03616,+3.85690,586.89306,+46.71380,633.60686,-633.60686,"-",,"-",,"-",,"-",,"-",
"Jim LEISHMAN (Lab)",1115,+39.58878,1154.58878,+3.00000,1157.58878,+38.02828,1195.61706,+175.05146,1370.66852,+274.53902,1645.20754,-180.20754,1465.00000,,1465.00000,,1465.00000,"Elected"
"Kerstin ROMANO (Grn)",238,+7.36934,245.36934,+4.34276,249.71210,-249.71210,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+70.26596,70.26596,+3.51414,73.78010,+30.22794,104.00804,+170.64874,274.65678,+395.04126,669.69804,+53.63287,723.33091,+2.63386,725.96477,+704.66316,1430.62793,
"Totals",7324,,7324.00000,,7324.00000,,7324.00000,,7324.00000,,7324.00000,,7324.00000,,7324.00000,,7324.00000
