"Election for","Ward 5 - Rosyth"
"Date","24 Apr 2020"
"Number to be elected",3
"Valid votes",5099
"Invalid votes",0
"Quota",1275.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alastair MACINTYRE (Ind)",,"Fiona MCOWAN (Grn)",,"Steven LECKIE (Ind)",,"Wendy CHAMBERLAIN (LD)",,"Tony ORTON (C)",,"Mike SHIRKIE (Ind)",,"Samantha STEELE (SNP)",,"Sharon WILSON (SNP)",
"Wendy CHAMBERLAIN (LD)",377,+6.00000,383.00000,+31.00000,414.00000,+15.00000,429.00000,-429.00000,"-",,"-",,"-",,"-",,"-",
"Steven LECKIE (Ind)",156,+36.00000,192.00000,+15.00000,207.00000,-207.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Alastair MACINTYRE (Ind)",89,-89.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Fiona MCOWAN (Grn)",147,+4.00000,151.00000,-151.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Tony ORTON (C)",1136,+10.00000,1146.00000,+3.00000,1149.00000,+28.00000,1177.00000,+111.00000,1288.00000,-13.00000,1275.00000,,1275.00000,,1275.00000,,1275.00000,"Elected"
"Mike SHIRKIE (Ind)",402,+22.00000,424.00000,+10.00000,434.00000,+106.00000,540.00000,+69.00000,609.00000,+2.97655,611.97655,-611.97655,"-",,"-",,"-",
"Samantha STEELE (SNP)",1118,+4.00000,1122.00000,+55.00000,1177.00000,+17.00000,1194.00000,+42.00000,1236.00000,+0.23207,1236.23207,+45.08072,1281.31279,-6.31279,1275.00000,,1275.00000,"Elected"
"Andrew VERRECCHIA (Lab)",932,+3.00000,935.00000,+16.00000,951.00000,+11.00000,962.00000,+88.00000,1050.00000,+3.82411,1053.82411,+167.92828,1221.75239,+0.22672,1221.97911,+268.67875,1490.65786,"Elected"
"Sharon WILSON (SNP)",742,,742.00000,+12.00000,754.00000,+12.00000,766.00000,+11.00000,777.00000,+0.14126,777.14126,+53.01009,830.15135,+5.62896,835.78031,-835.78031,"-",
"Non-transferable", ,+4.00000,4.00000,+9.00000,13.00000,+18.00000,31.00000,+108.00000,139.00000,+5.82601,144.82601,+345.95746,490.78347,+0.45711,491.24058,+567.10156,1058.34214,
"Totals",5099,,5099.00000,,5099.00000,,5099.00000,,5099.00000,,5099.00000,,5099.00000,,5099.00000,,5099.00000
