"Election for","Ward 11 - Kirkcaldy Central"
"Date","24 Apr 2020"
"Number to be elected",3
"Valid votes",4878
"Invalid votes",0
"Quota",1220.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Calum PAUL (Libtn)",,"Tricia DAKERS (LD)",,"Daniel PENMAN (Ind)",,"Cairinne MACDONALD (Grn)",,"Maciej WICZYNSKI (SNP)",,"Zoe HISBENT (SNP)",,"Dorothy ROSS (C)",
"Alistair CAMERON (Lab)",898,,898.00000,+32.00000,930.00000,+32.00000,962.00000,+33.00000,995.00000,+25.00000,1020.00000,+88.75845,1108.75845,+219.68965,1328.44810,"Elected"
"Tricia DAKERS (LD)",138,+2.00000,140.00000,-140.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Judy HAMILTON (Lab)",845,+2.00000,847.00000,+18.00000,865.00000,+22.00000,887.00000,+53.00000,940.00000,+41.00000,981.00000,+88.75845,1069.75845,+188.18390,1257.94235,"Elected"
"Zoe HISBENT (SNP)",1138,+1.00000,1139.00000,+9.00000,1148.00000,+14.00000,1162.00000,+56.00000,1218.00000,+522.00000,1740.00000,-520.00000,1220.00000,,1220.00000,"Elected"
"Cairinne MACDONALD (Grn)",223,+3.00000,226.00000,+23.00000,249.00000,+30.00000,279.00000,-279.00000,"-",,"-",,"-",,"-",
"Calum PAUL (Libtn)",16,-16.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Daniel PENMAN (Ind)",145,+3.00000,148.00000,+15.00000,163.00000,-163.00000,"-",,"-",,"-",,"-",,"-",
"Dorothy ROSS (C)",865,+2.00000,867.00000,+21.00000,888.00000,+26.00000,914.00000,+16.00000,930.00000,+2.00000,932.00000,+16.73560,948.73560,-948.73560,"-",
"Maciej WICZYNSKI (SNP)",610,+1.00000,611.00000,+3.00000,614.00000,+10.00000,624.00000,+46.00000,670.00000,-670.00000,"-",,"-",,"-",
"Non-transferable", ,+2.00000,2.00000,+19.00000,21.00000,+29.00000,50.00000,+75.00000,125.00000,+80.00000,205.00000,+325.74750,530.74750,+540.86205,1071.60955,
"Totals",4878,,4878.00000,,4878.00000,,4878.00000,,4878.00000,,4878.00000,,4878.00000,,4878.00000
