"Election for","Ward 12 - Kirkcaldy East"
"Date","24 Apr 2020"
"Number to be elected",3
"Valid votes",3993
"Invalid votes",0
"Quota",999.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Stephen William ROTTGER (LD)",,"Matthew RITCHIE (Ind)",,"IAN JOHN CAMERON (Lab)",,"Sandy FORBES (Grn)",,"MHAIRI CAITLIN CAMERON (Lab)",,"Marie PENMAN (Ind)",,"Rod CAVANAGH (SNP)",,"Steve MCMAHON (SNP)",
"IAN JOHN CAMERON (Lab)",985,+8.00000,993.00000,+9.00000,1002.00000,-3.00000,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,,999.00000,"Elected"
"MHAIRI CAITLIN CAMERON (Lab)",199,+4.00000,203.00000,+6.00000,209.00000,+2.36808,211.36808,+26.01196,237.38004,-237.38004,"-",,"-",,"-",,"-",
"Rod CAVANAGH (SNP)",897,+1.00000,898.00000,+5.00000,903.00000,+0.08073,903.08073,+43.00299,946.08372,+22.21229,968.29601,+67.02691,1035.32292,-36.32292,999.00000,,999.00000,"Elected"
"Sandy FORBES (Grn)",164,+12.00000,176.00000,+13.00000,189.00000,+0.04485,189.04485,-189.04485,"-",,"-",,"-",,"-",,"-",
"Steve MCMAHON (SNP)",533,+4.00000,537.00000,+14.00000,551.00000,+0.02990,551.02990,+33.00000,584.02990,+12.07176,596.10166,+86.01495,682.11661,+32.77012,714.88673,-714.88673,"-",
"Marie PENMAN (Ind)",421,+17.00000,438.00000,+45.00000,483.00000,+0.15249,483.15249,+49.00000,532.15249,+59.41860,591.57109,-591.57109,"-",,"-",,"-",
"Matthew RITCHIE (Ind)",108,+3.00000,111.00000,-111.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Stephen William ROTTGER (LD)",75,-75.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Richard WATT (C)",611,+14.00000,625.00000,+5.00000,630.00000,+0.08970,630.08970,+12.00299,642.09269,+29.28405,671.37674,+120.10465,791.48139,+0.17560,791.65699,+133.10630,924.76329,"Elected"
"Non-transferable", ,+12.00000,12.00000,+14.00000,26.00000,+0.23425,26.23425,+26.02691,52.26116,+114.39334,166.65450,+318.42458,485.07908,+3.37720,488.45628,+581.78043,1070.23671,
"Totals",3993,,3993.00000,,3993.00000,,3993.00000,,3993.00000,,3993.00000,,3993.00000,,3993.00000,,3993.00000
