"Election for","Ward 15 - Glenrothes Central & Thornton"
"Date","24 Apr 2020"
"Number to be elected",3
"Valid votes",4845
"Invalid votes",0
"Quota",1212.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Ross VETTRAINO (SNP)",,"Bert THOMSON (Ind)",,"Ian ROBERTSON (Ind)",,"Glen MCGILL (Grn)",,"Jane KERR (LD)",,"Ian CRICHTON (Ind)",,"Ian SLOAN (Lab)",,"Derek NOBLE (LaB)",,"Brian MILLS (C)",
"Ian CRICHTON (Ind)",151,+0.88104,151.88104,+18.11013,169.99117,+44.22026,214.21143,+16.11013,230.32156,+27.11013,257.43169,-257.43169,"-",,"-",,"-",,"-",
"Jane KERR (LD)",128,+0.77091,128.77091,,128.77091,+3.11013,131.88104,+14.00000,145.88104,-145.88104,"-",,"-",,"-",,"-",,"-",
"Glen MCGILL (Grn)",117,+1.65195,118.65195,+7.00000,125.65195,+4.00000,129.65195,-129.65195,"-",,"-",,"-",,"-",,"-",,"-",
"Brian MILLS (C)",716,+1.32156,717.32156,+2.00000,719.32156,+2.00000,721.32156,+8.00000,729.32156,+35.00000,764.32156,+39.00000,803.32156,+34.44052,837.76208,+29.06097,866.82305,-866.82305,"-",
"Derek NOBLE (LaB)",750,+2.31273,752.31273,+2.00000,754.31273,+7.22026,761.53299,+13.22026,774.75325,+22.11013,796.86338,+40.00000,836.86338,+533.77091,1370.63429,-158.63429,1212.00000,,1212.00000,"Elected"
"Ian ROBERTSON (Ind)",88,+0.88104,88.88104,+15.11013,103.99117,-103.99117,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Ian SLOAN (Lab)",663,+5.39637,668.39637,+6.33039,674.72676,+12.00000,686.72676,+8.11013,694.83689,+19.00000,713.83689,+26.44052,740.27741,-740.27741,"-",,"-",,"-",
"Bert THOMSON (Ind)",71,+1.10130,72.10130,-72.10130,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Ross VETTRAINO (SNP)",1362,-150.00000,1212.00000,,1212.00000,,1212.00000,,1212.00000,,1212.00000,,1212.00000,,1212.00000,,1212.00000,,1212.00000,"Elected"
"Vikki WILTON (SNP)",799,+128.63184,927.63184,+10.44052,938.07236,+5.00000,943.07236,+45.99117,989.06353,+6.11013,995.17366,+28.22026,1023.39392,+43.31273,1066.70665,+14.87607,1081.58272,+84.65175,1166.23447,"Elected"
"Non-transferable", ,+7.05126,7.05126,+11.11013,18.16139,+26.44052,44.60191,+24.22026,68.82217,+36.55065,105.37282,+123.77091,229.14373,+128.75325,357.89698,+114.69725,472.59423,+782.17130,1254.76553,
"Totals",4845,,4845.00000,,4845.00000,,4845.00000,,4845.00000,,4845.00000,,4845.00000,,4845.00000,,4845.00000,,4845.00000
