"Election for","Ward 18 - St Andrews"
"Date","24 Apr 2020"
"Number to be elected",4
"Valid votes",5027
"Invalid votes",0
"Quota",1006.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Jane Ann LISTON (LD)",,"Dominic NOLAN (C)",,"Clare FISHER (Ind)",,"Christopher MCKINLAY (Ind)",,"Andy COLLINS (Grn)",,"Colin VEITCH (SNP)",,"Dorothea MORRISON (Ind)",,"Ann VERNER (SNP)",,"Mariam MAHMOOD (LD)",
"Andy COLLINS (Grn)",283,+1.91943,284.91943,+0.01683,284.93626,+8.14416,293.08042,+5.14416,298.22458,-298.22458,"-",,"-",,"-",,"-",,"-",
"Clare FISHER (Ind)",62,+0.63981,62.63981,+0.04752,62.68733,-62.68733,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Jane Ann LISTON (LD)",1083,-77.00000,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,"Elected"
"Mariam MAHMOOD (LD)",451,+57.86726,508.86726,+0.25245,509.11971,+10.21624,519.33595,+10.57664,529.91259,+67.06833,596.98092,+10.07109,607.05201,+156.48537,763.53738,+6.06513,769.60251,-769.60251,"-",
"Christopher MCKINLAY (Ind)",73,+1.42180,74.42180,+0.03564,74.45744,+17.09188,91.54932,-91.54932,"-",,"-",,"-",,"-",,"-",,"-",
"Dorothea MORRISON (Ind)",496,+4.69194,500.69194,+0.26829,500.96023,+12.01287,512.97310,+42.51842,555.49152,+28.14614,583.63766,+3.14218,586.77984,-586.77984,"-",,"-",,"-",
"Dominic NOLAN (C)",1007,,1007.00000,-1.00000,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,,1006.00000,"Elected"
"Brian THOMSON (Lab)",640,+4.54976,644.54976,+0.07722,644.62698,+3.14515,647.77213,+10.14416,657.91629,+84.28634,742.20263,+11.14317,753.34580,+102.73466,856.08046,+7.57454,863.65500,+292.69794,1156.35294,"Elected"
"Colin VEITCH (SNP)",404,+0.56872,404.56872,+0.00297,404.57169,+1.00000,405.57169,+2.00000,407.57169,+43.28436,450.85605,-450.85605,"-",,"-",,"-",,"-",
"Ann VERNER (SNP)",528,+1.13744,529.13744,+0.00495,529.14239,+3.07109,532.21348,+4.00000,536.21348,+46.00000,582.21348,+408.28634,990.49982,+47.14317,1037.64299,-31.64299,1006.00000,,1006.00000,"Elected"
"Non-transferable", ,+4.20384,4.20384,+0.29413,4.49797,+8.00594,12.50391,+17.16594,29.66985,+29.43941,59.10926,+18.21327,77.32253,+280.41664,357.73917,+18.00332,375.74249,+476.90457,852.64706,
"Totals",5027,,5027.00000,,5027.00000,,5027.00000,,5027.00000,,5027.00000,,5027.00000,,5027.00000,,5027.00000,,5027.00000
